 Year, Statistics,MonthYear,MeanTempC
2011, Jan Average,Jan-11,23.2
2011, Feb Average,Feb-11,25.6
2011, Mar Average,Mar-11,25.8
2011, Apr Average,Apr-11,27.9
2011, May Average,May-11,27.9
2011, Jun Average,Jun-11,27.6
2011, Jul Average,Jul-11,27.2
2011, Aug Average,Aug-11,26.9
2011, Sep Average,Sep-11,26.7
2011, Oct Average,Oct-11,26.4
2011, Nov Average,Nov-11,25.8
2011, Dec Average,Dec-11,23.3
2012, Jan Average,Jan-12,24.6
2012, Feb Average,Feb-12,26.3
2012, Mar Average,Mar-12,27.9
2012, Apr Average,Apr-12,29.1
2012, May Average,May-12,28.5
2012, Jun Average,Jun-12,27.9
2012, Jul Average,Jul-12,27.3
2012, Aug Average,Aug-12,27.3
2012, Sep Average,Sep-12,26.9
2012, Oct Average,Oct-12,27.1
2012, Nov Average,Nov-12,26.7
2012, Dec Average,Dec-12,25.5
2013, Jan Average,Jan-13,24.3
2013, Feb Average,Feb-13,26.9
2013, Mar Average,Mar-13,28.2
2013, Apr Average,Apr-13,29.6
2013, May Average,May-13,29.1
2013, Jun Average,Jun-13,27.8
2013, Jul Average,Jul-13,27.1
2013, Aug Average,Aug-13,27.4
2013, Sep Average,Sep-13,26.7
2013, Oct Average,Oct-13,26.3
2013, Nov Average,Nov-13,25.9
2013, Dec Average,Dec-13,21.7
2014, Jan Average,Jan-14,22.1
2014, Feb Average,Feb-14,25.4
2014, Mar Average,Mar-14,28.1
2014, Apr Average,Apr-14,29.4
2014, May Average,May-14,29.3
2014, Jun Average,Jun-14,28.3
2014, Jul Average,Jul-14,27.7
2014, Aug Average,Aug-14,27.3
2014, Sep Average,Sep-14,27.2
2014, Oct Average,Oct-14,26.9
2014, Nov Average,Nov-14,26.4
2014, Dec Average,Dec-14,24.1
2015, Jan Average,Jan-15,23.2
2015, Feb Average,Feb-15,25.4
2015, Mar Average,Mar-15,28.2
2015, Apr Average,Apr-15,29.1
2015, May Average,May-15,29.8
2015, Jun Average,Jun-15,28.9
2015, Jul Average,Jul-15,28
2015, Aug Average,Aug-15,27.7
2015, Sep Average,Sep-15,27.4
2015, Oct Average,Oct-15,26.9
2015, Nov Average,Nov-15,26.9
2015, Dec Average,Dec-15,25.3
2016, Jan Average,Jan-16,24.3
2016, Feb Average,Feb-16,25
2016, Mar Average,Mar-16,28.7
2016, Apr Average,Apr-16,31.2
2016, May Average,May-16,30
2016, Jun Average,Jun-16,28.2
2016, Jul Average,Jul-16,27.9
2016, Aug Average,Aug-16,27.5
2016, Sep Average,Sep-16,27.1
2016, Oct Average,Oct-16,27.1
2016, Nov Average,Nov-16,26.6
2016, Dec Average,Dec-16,24.6
2017, Jan Average,Jan-17,24.9
2017, Feb Average,Feb-17,25.5
2017, Mar Average,Mar-17,27.9
2017, Apr Average,Apr-17,28.7
2017, May Average,May-17,28.3
2017, Jun Average,Jun-17,27.9
2017, Jul Average,Jul-17,27.3
2017, Aug Average,Aug-17,27.6
2017, Sep Average,Sep-17,27.7
2017, Oct Average,Oct-17,26.9
2017, Nov Average,Nov-17,25.8
2017, Dec Average,Dec-17,23.8
2018, Jan Average,Jan-18,24.4
2018, Feb Average,Feb-18,25
2018, Mar Average,Mar-18,27.6
2018, Apr Average,Apr-18,28.3
2018, May Average,May-18,28.2
2018, Jun Average,Jun-18,27.7
2018, Jul Average,Jul-18,27.4
2018, Aug Average,Aug-18,27
2018, Sep Average,Sep-18,27.3
2018, Oct Average,Oct-18,27.3
2018, Nov Average,Nov-18,26.4
2018, Dec Average,Dec-18,25.6
2019, Jan Average,Jan-19,25
2019, Feb Average,Feb-19,27.1
2019, Mar Average,Mar-19,28.6
2019, Apr Average,Apr-19,30.4
2019, May Average,May-19,29.7
2019, Jun Average,Jun-19,28.6
2019, Jul Average,Jul-19,28.2
2019, Aug Average,Aug-19,27.4
2019, Sep Average,Sep-19,27.1
2019, Oct Average,Oct-19,27.5
2019, Nov Average,Nov-19,26
2019, Dec Average,Dec-19,23.9
2020, Jan Average,Jan-20,25.7
2020, Feb Average,Feb-20,26.3
2020, Mar Average,Mar-20,28.8
2020, Apr Average,Apr-20,29.6
2020, May Average,May-20,30
2020, Jun Average,Jun-20,28.4
2020, Jul Average,Jul-20,28.3
2020, Aug Average,Aug-20,27.6
2020, Sep Average,Sep-20,27.7
2020, Oct Average,Oct-20,25.8
2020, Nov Average,Nov-20,26
2020, Dec Average,Dec-20,24.1
