 Year, Statistics,MonthYear,MinTempC
2011, Jan Average,Jan-11,17.1
2011, Feb Average,Feb-11,19.1
2011, Mar Average,Mar-11,19.8
2011, Apr Average,Apr-11,22.6
2011, May Average,May-11,23.3
2011, Jun Average,Jun-11,23.9
2011, Jul Average,Jul-11,23.3
2011, Aug Average,Aug-11,23.2
2011, Sep Average,Sep-11,23.1
2011, Oct Average,Oct-11,22.3
2011, Nov Average,Nov-11,20.5
2011, Dec Average,Dec-11,17.8
2012, Jan Average,Jan-12,18.7
2012, Feb Average,Feb-12,19.7
2012, Mar Average,Mar-12,21.5
2012, Apr Average,Apr-12,23.3
2012, May Average,May-12,23.7
2012, Jun Average,Jun-12,24.1
2012, Jul Average,Jul-12,23.5
2012, Aug Average,Aug-12,23.5
2012, Sep Average,Sep-12,23
2012, Oct Average,Oct-12,22.6
2012, Nov Average,Nov-12,21.8
2012, Dec Average,Dec-12,19.8
2013, Jan Average,Jan-13,18.1
2013, Feb Average,Feb-13,20.4
2013, Mar Average,Mar-13,21.8
2013, Apr Average,Apr-13,23.7
2013, May Average,May-13,24.2
2013, Jun Average,Jun-13,23.7
2013, Jul Average,Jul-13,23.4
2013, Aug Average,Aug-13,23.6
2013, Sep Average,Sep-13,22.8
2013, Oct Average,Oct-13,22.1
2013, Nov Average,Nov-13,21
2013, Dec Average,Dec-13,16
2014, Jan Average,Jan-14,15.1
2014, Feb Average,Feb-14,18.5
2014, Mar Average,Mar-14,21.4
2014, Apr Average,Apr-14,23.4
2014, May Average,May-14,24.2
2014, Jun Average,Jun-14,24.2
2014, Jul Average,Jul-14,23.9
2014, Aug Average,Aug-14,23.3
2014, Sep Average,Sep-14,23.1
2014, Oct Average,Oct-14,22.4
2014, Nov Average,Nov-14,21.2
2014, Dec Average,Dec-14,18.4
2015, Jan Average,Jan-15,16.8
2015, Feb Average,Feb-15,18.7
2015, Mar Average,Mar-15,21.9
2015, Apr Average,Apr-15,23.3
2015, May Average,May-15,24.5
2015, Jun Average,Jun-15,24.3
2015, Jul Average,Jul-15,24
2015, Aug Average,Aug-15,23.6
2015, Sep Average,Sep-15,23.3
2015, Oct Average,Oct-15,22.5
2015, Nov Average,Nov-15,21.8
2015, Dec Average,Dec-15,19.7
2016, Jan Average,Jan-16,18.2
2016, Feb Average,Feb-16,18.1
2016, Mar Average,Mar-16,22.1
2016, Apr Average,Apr-16,24.8
2016, May Average,May-16,24.9
2016, Jun Average,Jun-16,24.1
2016, Jul Average,Jul-16,24.1
2016, Aug Average,Aug-16,23.7
2016, Sep Average,Sep-16,23.3
2016, Oct Average,Oct-16,22.9
2016, Nov Average,Nov-16,21.7
2016, Dec Average,Dec-16,19.3
2017, Jan Average,Jan-17,19.5
2017, Feb Average,Feb-17,18.5
2017, Mar Average,Mar-17,21.6
2017, Apr Average,Apr-17,23.2
2017, May Average,May-17,23.8
2017, Jun Average,Jun-17,23.9
2017, Jul Average,Jul-17,23.7
2017, Aug Average,Aug-17,23.8
2017, Sep Average,Sep-17,23.6
2017, Oct Average,Oct-17,22.7
2017, Nov Average,Nov-17,21.2
2017, Dec Average,Dec-17,18.4
2018, Jan Average,Jan-18,18.8
2018, Feb Average,Feb-18,18.7
2018, Mar Average,Mar-18,21.6
2018, Apr Average,Apr-18,22.8
2018, May Average,May-18,23.5
2018, Jun Average,Jun-18,23.8
2018, Jul Average,Jul-18,23.9
2018, Aug Average,Aug-18,23.5
2018, Sep Average,Sep-18,23.2
2018, Oct Average,Oct-18,22.7
2018, Nov Average,Nov-18,21.1
2018, Dec Average,Dec-18,20.2
2019, Jan Average,Jan-19,19
2019, Feb Average,Feb-19,20.4
2019, Mar Average,Mar-19,21.8
2019, Apr Average,Apr-19,24
2019, May Average,May-19,24.6
2019, Jun Average,Jun-19,24.2
2019, Jul Average,Jul-19,24.1
2019, Aug Average,Aug-19,23.7
2019, Sep Average,Sep-19,23.1
2019, Oct Average,Oct-19,22.8
2019, Nov Average,Nov-19,20.5
2019, Dec Average,Dec-19,17.4
2020, Jan Average,Jan-20,19
2020, Feb Average,Feb-20,19.3
2020, Mar Average,Mar-20,22.2
2020, Apr Average,Apr-20,23.6
2020, May Average,May-20,24.8
2020, Jun Average,Jun-20,24.1
2020, Jul Average,Jul-20,24.1
2020, Aug Average,Aug-20,23.9
2020, Sep Average,Sep-20,23.7
2020, Oct Average,Oct-20,22.1
2020, Nov Average,Nov-20,20.8
2020, Dec Average,Dec-20,18.3
