Date,02T,03T,05T,07T,10T,11T,12T,15T,59T,61T,48T,49T,50T,52T,53T,54T
01/01/2011,91,53,60,73,46,54,40,47,N/A,47,N/A,106,85,43,37,N/A
02/01/2011,82,46,61,75,50,50,40,45,N/A,45,N/A,99,79,40,37,N/A
03/01/2011,91,48,64,88,54,56,42,52,N/A,50,N/A,121,95,47,41,N/A
04/01/2011,85,42,52,78,45,51,37,46,N/A,42,N/A,110,85,39,38,N/A
05/01/2011,74,41,42,74,37,47,35,43,N/A,39,N/A,100,73,35,34,N/A
06/01/2011,68,41,41,60,35,40,31,38,N/A,37,N/A,82,67,33,29,N/A
07/01/2011,52,32,33,43,29,37,27,28,N/A,32,67,61,54,23,24,N/A
08/01/2011,57,34,40,57,34,38,28,32,51,33,81,77,65,27,31,N/A
09/01/2011,65,40,41,59,37,43,29,37,54,38,91,83,69,31,32,N/A
10/01/2011,61,35,35,53,38,39,30,35,45,34,75,N/A,61,28,27,N/A
11/01/2011,89,45,55,81,46,51,43,48,76,42,114,N/A,93,41,37,N/A
12/01/2011,97,55,55,91,47,55,46,49,80,48,134,N/A,110,46,41,N/A
13/01/2011,75,39,55,66,48,46,37,40,54,42,86,N/A,77,33,35,N/A
14/01/2011,88,46,55,70,43,46,40,54,62,42,95,105,83,42,35,N/A
15/01/2011,90,47,50,75,45,51,41,47,73,44,109,106,94,39,37,N/A
16/01/2011,69,37,40,58,37,42,32,39,58,38,82,78,69,32,30,N/A
17/01/2011,91,50,61,80,48,52,43,53,72,47,98,96,81,40,39,N/A
18/01/2011,111,59,66,90,52,56,46,60,86,50,120,119,94,53,40,N/A
19/01/2011,N/A,70,72,106,56,64,52,65,94,52,145,155,111,59,47,N/A
20/01/2011,N/A,81,81,100,56,64,60,76,92,50,136,152,125,59,47,N/A
21/01/2011,123,64,75,95,56,60,54,60,93,51,144,N/A,116,51,44,71
22/01/2011,106,49,N/A,77,51,51,40,52,67,46,105,114,92,42,38,54
23/01/2011,103,47,N/A,81,50,51,40,53,75,46,109,123,88,43,39,50
24/01/2011,112,44,N/A,80,54,52,43,51,74,47,118,123,87,43,42,52
25/01/2011,91,39,N/A,65,37,45,36,41,58,34,96,91,76,33,33,44
26/01/2011,82,38,N/A,66,40,45,31,39,65,40,101,102,79,34,37,44
27/01/2011,81,40,N/A,62,35,44,34,36,57,36,89,81,70,33,36,39
28/01/2011,88,39,N/A,68,40,55,36,41,64,42,105,106,78,36,37,46
29/01/2011,74,32,N/A,56,34,45,29,38,52,33,85,76,63,29,31,35
30/01/2011,70,34,N/A,65,39,47,34,35,58,N/A,94,81,66,32,35,38
31/01/2011,81,42,N/A,64,38,45,37,41,60,N/A,N/A,93,71,35,37,39
01/02/2011,95,62,N/A,83,46,52,41,51,N/A,40,N/A,107,89,44,44,47
02/02/2011,108,52,N/A,81,48,54,44,53,N/A,41,69,106,N/A,46,41,46
03/02/2011,96,56,N/A,100,49,52,42,48,78,43,53,107,83,39,44,46
04/02/2011,87,54,N/A,86,46,52,43,47,64,39,42,95,80,35,38,44
05/02/2011,116,56,N/A,90,62,77,68,65,81,63,86,125,109,50,49,49
06/02/2011,88,43,N/A,62,58,67,41,43,62,53,76,108,83,34,38,37
07/02/2011,69,26,N/A,52,35,42,31,28,40,N/A,50,86,62,25,28,33
08/02/2011,75,33,N/A,56,37,41,37,33,46,N/A,67,94,73,31,27,42
09/02/2011,65,25,N/A,48,31,39,31,30,39,N/A,45,74,63,26,26,34
10/02/2011,60,22,N/A,54,31,44,34,26,40,N/A,37,87,57,23,29,36
11/02/2011,60,20,N/A,59,30,42,30,29,39,N/A,40,82,59,24,27,33
12/02/2011,55,19,N/A,50,24,36,26,23,29,N/A,32,60,51,20,22,30
13/02/2011,63,20,N/A,38,31,35,27,27,36,N/A,40,73,57,24,25,32
