Date,02T,03T,05T,07T,10T,11T,12T,15T,59T,61T,48T,49T,50T,52T,53T,54T,51T
01/01/2012,N/A,N/A,N/A,N/A,42,N/A,N/A,N/A,N/A,N/A,N/A,62,54,28,27,57,N/A
02/01/2012,N/A,N/A,N/A,N/A,34,N/A,N/A,N/A,N/A,N/A,N/A,57,54,27,26,51,N/A
03/01/2012,N/A,N/A,N/A,N/A,36,N/A,N/A,N/A,N/A,N/A,N/A,59,68,31,29,52,N/A
04/01/2012,N/A,N/A,N/A,N/A,32,37,N/A,N/A,N/A,N/A,N/A,56,N/A,34,26,56,N/A
05/01/2012,N/A,N/A,N/A,N/A,40,60,N/A,N/A,35,N/A,N/A,104,N/A,49,N/A,93,N/A
06/01/2012,N/A,N/A,N/A,N/A,40,58,N/A,N/A,44,N/A,N/A,N/A,N/A,45,N/A,84,N/A
07/01/2012,N/A,N/A,N/A,N/A,36,67,N/A,N/A,50,N/A,101,N/A,N/A,38,N/A,71,N/A
08/01/2012,N/A,N/A,N/A,N/A,28,49,N/A,N/A,39,N/A,68,N/A,N/A,28,27,58,N/A
09/01/2012,N/A,N/A,N/A,N/A,31,48,N/A,N/A,40,N/A,75,N/A,N/A,29,26,64,N/A
10/01/2012,N/A,N/A,N/A,N/A,40,65,N/A,N/A,57,N/A,97,N/A,77,38,32,84,N/A
11/01/2012,N/A,N/A,N/A,N/A,39,N/A,N/A,N/A,55,N/A,97,N/A,80,35,32,75,N/A
12/01/2012,N/A,N/A,N/A,N/A,33,N/A,N/A,N/A,N/A,N/A,77,N/A,66,32,27,67,N/A
13/01/2012,N/A,N/A,N/A,N/A,34,58,N/A,N/A,N/A,N/A,97,81,81,39,28,81,N/A
14/01/2012,N/A,N/A,N/A,N/A,38,60,N/A,N/A,N/A,N/A,80,N/A,69,36,28,74,20
15/01/2012,N/A,N/A,N/A,N/A,35,57,N/A,N/A,N/A,N/A,84,N/A,63,30,24,58,20
16/01/2012,N/A,N/A,N/A,N/A,32,43,N/A,N/A,N/A,N/A,74,62,58,26,23,51,22
17/01/2012,N/A,N/A,N/A,N/A,36,51,N/A,N/A,N/A,N/A,82,78,60,27,29,71,25
18/01/2012,N/A,N/A,N/A,N/A,27,36,N/A,N/A,N/A,N/A,55,54,44,17,20,37,27
19/01/2012,N/A,N/A,N/A,N/A,18,26,N/A,N/A,N/A,N/A,46,N/A,32,19,16,29,38
20/01/2012,N/A,N/A,N/A,N/A,18,27,N/A,N/A,N/A,N/A,48,N/A,32,16,15,31,23
21/01/2012,N/A,N/A,N/A,N/A,20,26,N/A,N/A,17,N/A,44,N/A,36,16,15,32,21
22/01/2012,N/A,N/A,N/A,N/A,21,26,N/A,13,18,N/A,41,N/A,31,17,15,32,30
23/01/2012,N/A,N/A,N/A,N/A,20,29,N/A,15,22,N/A,48,N/A,39,15,14,57,19
24/01/2012,N/A,N/A,N/A,N/A,22,34,N/A,18,29,N/A,58,N/A,43,19,18,60,24
25/01/2012,N/A,N/A,N/A,N/A,30,45,N/A,21,39,N/A,76,64,61,23,23,78,20
26/01/2012,N/A,N/A,N/A,N/A,34,57,N/A,24,50,N/A,93,81,68,32,26,86,N/A
27/01/2012,N/A,N/A,N/A,N/A,35,49,N/A,N/A,41,N/A,84,N/A,61,27,24,69,N/A
28/01/2012,N/A,N/A,N/A,N/A,36,65,N/A,N/A,56,N/A,105,N/A,80,32,31,97,N/A
29/01/2012,N/A,N/A,N/A,N/A,46,N/A,N/A,N/A,64,N/A,112,N/A,93,39,N/A,93,23
30/01/2012,N/A,N/A,N/A,N/A,36,N/A,N/A,N/A,53,N/A,94,N/A,79,37,N/A,78,17
31/01/2012,N/A,N/A,N/A,N/A,43,67,N/A,N/A,61,N/A,111,N/A,86,41,N/A,89,18
01/02/2012,N/A,N/A,N/A,N/A,38,63,N/A,N/A,58,N/A,102,83,84,37,N/A,90,18
02/02/2012,N/A,N/A,N/A,N/A,51,77,N/A,N/A,69,N/A,121,110,97,N/A,33,97,22
03/02/2012,N/A,N/A,N/A,N/A,35,58,N/A,N/A,51,N/A,107,94,88,N/A,30,87,24
04/02/2012,N/A,N/A,N/A,N/A,36,N/A,N/A,N/A,53,N/A,115,104,92,N/A,32,87,28
05/02/2012,N/A,N/A,16,N/A,27,N/A,N/A,N/A,36,N/A,76,69,58,N/A,23,59,22
06/02/2012,N/A,N/A,15,N/A,26,N/A,N/A,N/A,28,N/A,67,55,46,N/A,20,42,12
07/02/2012,N/A,N/A,N/A,N/A,31,35,N/A,N/A,30,N/A,66,53,46,N/A,20,50,17
08/02/2012,N/A,N/A,N/A,N/A,26,38,N/A,N/A,28,N/A,N/A,53,46,N/A,21,52,18
09/02/2012,N/A,N/A,N/A,N/A,24,39,N/A,N/A,28,N/A,N/A,51,45,N/A,18,43,15
10/02/2012,61,N/A,N/A,N/A,23,38,N/A,N/A,25,N/A,N/A,52,49,N/A,19,39,14
11/02/2012,68,N/A,N/A,N/A,33,47,N/A,N/A,37,N/A,N/A,59,52,N/A,23,51,19
12/02/2012,82,N/A,N/A,N/A,37,55,N/A,N/A,50,N/A,N/A,74,65,N/A,28,65,17
13/02/2012,87,N/A,N/A,N/A,36,58,N/A,N/A,51,N/A,N/A,75,69,N/A,31,66,14
14/02/2012,84,N/A,89,N/A,35,59,N/A,N/A,49,N/A,N/A,70,66,N/A,29,62,15
15/02/2012,78,N/A,102,N/A,33,59,N/A,N/A,47,N/A,92,66,66,N/A,29,66,19
16/02/2012,86,N/A,99,N/A,38,66,N/A,N/A,55,N/A,100,79,74,N/A,31,73,20
17/02/2012,106,N/A,135,N/A,37,73,N/A,N/A,61,N/A,107,85,88,N/A,31,84,25
18/02/2012,75,N/A,N/A,N/A,25,44,N/A,N/A,33,N/A,61,46,50,N/A,20,51,17
19/02/2012,87,N/A,60,N/A,28,49,N/A,N/A,41,N/A,77,54,60,N/A,23,61,16
20/02/2012,N/A,N/A,72,N/A,35,69,N/A,N/A,62,N/A,104,73,81,N/A,29,88,16
21/02/2012,N/A,N/A,N/A,N/A,48,88,N/A,N/A,76,N/A,114,90,99,N/A,35,109,23
22/02/2012,N/A,N/A,N/A,N/A,56,85,N/A,N/A,83,N/A,124,116,116,N/A,40,107,26
23/02/2012,81,N/A,N/A,N/A,36,60,N/A,N/A,51,N/A,83,65,64,N/A,25,70,N/A
24/02/2012,57,N/A,N/A,N/A,28,42,N/A,N/A,30,N/A,62,47,48,N/A,20,53,N/A
25/02/2012,44,N/A,N/A,N/A,18,28,N/A,N/A,20,N/A,47,31,35,N/A,14,N/A,N/A
26/02/2012,42,N/A,N/A,N/A,17,27,N/A,N/A,19,N/A,42,24,34,N/A,13,N/A,N/A
27/02/2012,47,N/A,N/A,N/A,18,28,N/A,N/A,17,N/A,45,28,32,N/A,13,N/A,N/A
28/02/2012,45,N/A,N/A,N/A,17,28,N/A,N/A,17,N/A,46,24,33,N/A,13,34,N/A
29/02/2012,45,N/A,N/A,N/A,25,36,N/A,N/A,21,N/A,52,30,39,N/A,25,44,N/A
01/03/2012,46,N/A,N/A,N/A,19,37,N/A,N/A,25,N/A,53,32,43,N/A,15,48,N/A
02/03/2012,61,N/A,53,N/A,24,49,N/A,N/A,30,N/A,65,44,51,N/A,19,51,N/A
03/03/2012,55,N/A,32,N/A,20,39,N/A,N/A,24,N/A,52,N/A,40,17,15,53,N/A
04/03/2012,49,N/A,22,N/A,18,33,N/A,N/A,21,N/A,44,N/A,35,17,13,39,N/A
05/03/2012,48,N/A,21,N/A,18,36,N/A,N/A,26,N/A,49,N/A,34,16,14,47,N/A
06/03/2012,46,N/A,24,N/A,18,32,N/A,N/A,28,N/A,49,N/A,36,15,14,42,N/A
07/03/2012,40,N/A,13,N/A,16,29,N/A,N/A,17,N/A,37,N/A,29,12,11,29,N/A
08/03/2012,39,N/A,N/A,N/A,16,28,N/A,N/A,21,N/A,44,N/A,29,14,10,29,N/A
09/03/2012,41,N/A,23,N/A,18,33,N/A,N/A,21,N/A,45,N/A,33,N/A,15,34,N/A
10/03/2012,38,N/A,N/A,N/A,24,34,N/A,N/A,23,N/A,42,N/A,35,N/A,15,35,N/A
11/03/2012,71,N/A,N/A,N/A,26,50,N/A,28,43,N/A,70,N/A,55,27,22,62,N/A
12/03/2012,105,N/A,N/A,N/A,37,70,N/A,39,51,N/A,N/A,N/A,74,40,28,76,N/A
13/03/2012,78,N/A,N/A,N/A,29,58,N/A,27,39,N/A,N/A,N/A,62,29,24,58,N/A
14/03/2012,92,N/A,N/A,N/A,32,60,N/A,29,47,N/A,92,N/A,64,31,25,65,N/A
15/03/2012,91,N/A,N/A,N/A,27,61,N/A,35,47,N/A,91,N/A,N/A,32,23,65,N/A
16/03/2012,61,N/A,N/A,N/A,22,43,N/A,21,27,N/A,63,N/A,N/A,22,18,39,N/A
17/03/2012,59,N/A,N/A,N/A,23,43,N/A,19,28,N/A,60,N/A,N/A,21,20,36,N/A
18/03/2012,68,N/A,N/A,N/A,28,51,N/A,24,42,N/A,N/A,N/A,N/A,28,21,52,N/A
19/03/2012,71,N/A,N/A,N/A,28,54,N/A,23,40,N/A,N/A,N/A,N/A,26,23,53,N/A
20/03/2012,104,N/A,N/A,N/A,43,85,N/A,46,63,N/A,N/A,N/A,N/A,46,34,82,N/A
21/03/2012,108,N/A,N/A,N/A,47,94,N/A,50,79,N/A,N/A,N/A,N/A,50,34,89,N/A
22/03/2012,114,N/A,N/A,N/A,50,103,N/A,52,81,N/A,N/A,N/A,N/A,49,38,94,N/A
23/03/2012,130,N/A,N/A,N/A,56,111,N/A,N/A,87,N/A,N/A,100,N/A,50,39,102,N/A
24/03/2012,106,N/A,N/A,N/A,45,87,N/A,N/A,63,N/A,N/A,76,84,44,31,71,N/A
25/03/2012,94,N/A,N/A,N/A,35,70,N/A,N/A,54,N/A,N/A,70,71,33,26,73,N/A
26/03/2012,N/A,N/A,N/A,N/A,41,68,N/A,N/A,60,N/A,N/A,87,82,N/A,30,76,N/A
27/03/2012,N/A,N/A,N/A,N/A,48,96,N/A,49,76,N/A,N/A,98,109,N/A,37,99,N/A
28/03/2012,N/A,N/A,N/A,N/A,57,103,N/A,53,73,N/A,N/A,105,111,N/A,39,102,N/A
29/03/2012,N/A,N/A,N/A,N/A,44,91,N/A,43,77,N/A,N/A,89,87,N/A,34,78,N/A
30/03/2012,N/A,N/A,N/A,N/A,49,95,N/A,46,83,N/A,N/A,91,99,N/A,N/A,93,N/A
31/03/2012,N/A,N/A,N/A,N/A,43,90,N/A,44,72,N/A,N/A,83,94,N/A,N/A,99,N/A
01/04/2012,N/A,N/A,N/A,N/A,43,88,N/A,46,68,N/A,N/A,81,92,N/A,N/A,91,N/A
02/04/2012,N/A,N/A,N/A,N/A,57,119,N/A,56,93,N/A,N/A,104,118,N/A,N/A,112,N/A
03/04/2012,N/A,N/A,N/A,N/A,63,121,N/A,57,92,N/A,N/A,120,127,N/A,N/A,106,N/A
04/04/2012,N/A,N/A,N/A,N/A,27,60,N/A,26,37,N/A,N/A,51,61,N/A,N/A,63,N/A
05/04/2012,53,N/A,N/A,N/A,28,47,N/A,21,24,N/A,N/A,45,56,N/A,N/A,57,N/A
06/04/2012,52,N/A,N/A,N/A,25,48,N/A,23,33,N/A,N/A,44,53,N/A,21,52,N/A
07/04/2012,68,N/A,N/A,N/A,26,57,N/A,26,34,N/A,N/A,55,63,N/A,26,66,N/A
08/04/2012,57,N/A,N/A,N/A,20,37,N/A,23,24,N/A,N/A,36,52,N/A,19,49,N/A
09/04/2012,71,N/A,N/A,N/A,27,49,N/A,27,41,N/A,N/A,80,70,N/A,27,88,N/A
10/04/2012,67,N/A,N/A,N/A,26,51,N/A,N/A,39,N/A,N/A,N/A,70,N/A,24,64,N/A
11/04/2012,50,N/A,N/A,N/A,24,38,N/A,N/A,25,N/A,N/A,N/A,51,N/A,17,N/A,N/A
12/04/2012,44,N/A,N/A,N/A,19,33,N/A,N/A,21,N/A,N/A,N/A,44,N/A,15,N/A,N/A
13/04/2012,39,N/A,N/A,N/A,16,27,N/A,N/A,17,N/A,N/A,N/A,35,N/A,14,N/A,N/A
14/04/2012,N/A,N/A,N/A,N/A,16,26,N/A,N/A,15,N/A,N/A,N/A,39,N/A,13,N/A,N/A
15/04/2012,N/A,N/A,N/A,N/A,18,24,N/A,N/A,N/A,N/A,N/A,N/A,37,N/A,13,N/A,N/A
16/04/2012,N/A,N/A,N/A,N/A,13,18,N/A,N/A,N/A,N/A,N/A,N/A,28,N/A,10,N/A,N/A
17/04/2012,N/A,N/A,N/A,N/A,14,17,N/A,N/A,N/A,N/A,N/A,N/A,31,N/A,11,N/A,N/A
18/04/2012,N/A,N/A,N/A,N/A,14,22,N/A,N/A,N/A,N/A,N/A,N/A,32,N/A,12,N/A,N/A
19/04/2012,26,N/A,N/A,N/A,16,24,N/A,N/A,14,N/A,N/A,N/A,33,N/A,12,26,N/A
20/04/2012,37,N/A,N/A,N/A,15,29,N/A,14,14,N/A,N/A,N/A,36,N/A,13,30,N/A
21/04/2012,41,N/A,N/A,N/A,21,35,N/A,17,25,N/A,N/A,N/A,43,N/A,18,43,N/A
22/04/2012,57,N/A,N/A,N/A,25,46,N/A,24,36,N/A,N/A,N/A,58,N/A,20,52,N/A
23/04/2012,66,N/A,N/A,N/A,30,53,N/A,28,42,N/A,N/A,N/A,67,N/A,21,63,N/A
24/04/2012,70,N/A,N/A,N/A,35,62,N/A,28,44,N/A,N/A,N/A,71,N/A,24,59,N/A
25/04/2012,75,N/A,N/A,N/A,36,58,N/A,30,48,N/A,N/A,N/A,73,N/A,28,59,N/A
26/04/2012,76,N/A,N/A,N/A,34,68,N/A,32,53,N/A,N/A,N/A,73,33,27,57,N/A
27/04/2012,67,N/A,N/A,N/A,30,69,N/A,30,40,N/A,N/A,N/A,66,31,26,56,N/A
28/04/2012,64,N/A,N/A,N/A,29,N/A,N/A,26,40,N/A,N/A,N/A,N/A,26,24,55,N/A
29/04/2012,56,N/A,N/A,N/A,29,61,N/A,25,37,N/A,N/A,N/A,N/A,26,21,48,N/A
30/04/2012,50,N/A,N/A,N/A,22,51,N/A,24,29,N/A,N/A,N/A,55,22,19,42,N/A
01/05/2012,50,N/A,54,N/A,21,46,N/A,21,26,N/A,N/A,N/A,48,20,19,36,N/A
02/05/2012,48,N/A,55,N/A,17,34,N/A,19,19,N/A,N/A,N/A,46,17,N/A,29,N/A
03/05/2012,35,N/A,N/A,N/A,18,36,N/A,15,N/A,N/A,N/A,N/A,39,N/A,N/A,30,N/A
04/05/2012,39,N/A,N/A,N/A,15,34,N/A,18,16,N/A,N/A,N/A,37,N/A,N/A,20,N/A
05/05/2012,41,N/A,N/A,N/A,17,30,N/A,16,16,N/A,N/A,N/A,35,N/A,N/A,39,67
06/05/2012,33,N/A,N/A,N/A,18,34,N/A,14,14,N/A,N/A,N/A,32,N/A,N/A,28,64
07/05/2012,58,N/A,N/A,N/A,22,43,N/A,24,32,N/A,N/A,N/A,49,N/A,17,39,91
08/05/2012,61,N/A,N/A,N/A,24,50,N/A,25,37,16,N/A,N/A,61,N/A,19,49,97
09/05/2012,61,N/A,N/A,N/A,25,50,N/A,27,38,21,N/A,N/A,64,N/A,N/A,53,83
10/05/2012,69,N/A,N/A,N/A,27,51,N/A,30,38,26,N/A,N/A,69,N/A,N/A,47,86
11/05/2012,65,N/A,N/A,N/A,26,44,N/A,27,36,24,N/A,N/A,55,N/A,N/A,55,84
12/05/2012,53,N/A,N/A,N/A,21,N/A,N/A,23,29,19,N/A,N/A,51,N/A,N/A,45,77
13/05/2012,54,N/A,N/A,N/A,22,36,N/A,22,29,21,N/A,N/A,50,N/A,N/A,43,71
14/05/2012,52,N/A,N/A,N/A,26,37,N/A,23,31,19,N/A,N/A,58,N/A,N/A,48,70
