Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T
01/01/2017,30,35,32,17,N/A,35,33,N/A,95,43,N/A,45
02/01/2017,30,34,31,14,N/A,32,30,N/A,80,37,N/A,39
03/01/2017,26,34,38,16,N/A,34,36,N/A,77,41,N/A,64
04/01/2017,37,40,39,17,N/A,38,40,N/A,76,49,N/A,86
05/01/2017,43,55,51,24,N/A,55,54,N/A,88,66,N/A,92
06/01/2017,36,53,50,22,N/A,45,50,N/A,84,58,N/A,89
07/01/2017,44,56,58,24,N/A,53,53,N/A,78,66,N/A,103
08/01/2017,49,50,56,30,N/A,63,55,N/A,73,61,N/A,127
09/01/2017,37,39,40,22,N/A,38,38,N/A,80,51,N/A,92
10/01/2017,53,40,53,26,N/A,42,45,N/A,95,62,N/A,113
11/01/2017,31,27,33,17,N/A,25,27,N/A,80,38,N/A,63
12/01/2017,18,23,29,19,N/A,25,27,N/A,74,27,N/A,64
13/01/2017,30,37,42,19,N/A,33,42,N/A,93,45,N/A,84
14/01/2017,43,57,55,23,N/A,48,54,N/A,88,67,N/A,108
15/01/2017,63,73,68,29,N/A,59,66,N/A,97,81,N/A,114
16/01/2017,42,51,50,21,N/A,49,49,N/A,N/A,56,N/A,102
17/01/2017,37,41,42,18,N/A,39,40,N/A,N/A,46,N/A,116
18/01/2017,56,56,52,21,N/A,47,53,N/A,N/A,57,N/A,94
19/01/2017,56,52,52,21,N/A,59,53,N/A,N/A,69,N/A,119
20/01/2017,N/A,48,N/A,18,63,46,48,N/A,N/A,50,N/A,89
21/01/2017,N/A,46,N/A,18,54,44,46,N/A,N/A,58,N/A,86
22/01/2017,40,38,N/A,16,45,38,38,N/A,N/A,44,N/A,75
23/01/2017,40,48,N/A,19,56,45,43,N/A,N/A,52,N/A,80
24/01/2017,47,57,N/A,20,61,55,58,N/A,N/A,68,N/A,107
25/01/2017,57,72,N/A,26,69,66,68,N/A,N/A,79,N/A,124
26/01/2017,45,44,N/A,18,51,45,N/A,N/A,N/A,62,N/A,83
27/01/2017,46,47,N/A,17,60,45,N/A,N/A,N/A,61,N/A,78
28/01/2017,44,55,N/A,N/A,59,49,N/A,N/A,N/A,61,N/A,65
29/01/2017,56,68,N/A,23,82,63,N/A,N/A,N/A,83,N/A,104
30/01/2017,59,65,N/A,21,N/A,61,N/A,N/A,N/A,76,N/A,84
31/01/2017,62,66,68,23,N/A,64,70,N/A,N/A,73,N/A,95
01/02/2017,60,79,62,21,N/A,59,67,N/A,N/A,72,N/A,91
02/02/2017,67,67,61,22,71,68,67,N/A,N/A,77,N/A,100
03/02/2017,27,26,26,10,45,25,28,N/A,N/A,30,N/A,58
04/02/2017,40,54,54,15,47,40,54,N/A,N/A,55,N/A,91
05/02/2017,51,71,67,21,56,61,69,N/A,N/A,78,N/A,92
