Date,54T,,,,,,,,,,,,,,,,,,
01/01/2012,N/A,,,,,,,,,,,,,,,,,,
02/01/2012,N/A,,,,,,,,,,,,,,,,,,
03/01/2012,N/A,,,,,,,,,,,,,,,,,,
04/01/2012,33,,,,,,,,,,,,,,,,,,
05/01/2012,59,,,,,,,,,,,,,,,,,,
06/01/2012,55,,,,,,,,,,,,,,,,,,
07/01/2012,57,,,,,,,,,,,,,,,,,,
08/01/2012,35,,,,,,,,,,,,,,,,,,
09/01/2012,36,,,,,,,,,,,,,,,,,,
10/01/2012,54,,,,,,,,,,,,,,,,,,
11/01/2012,56,,,,,,,,,,,,,,,,,,
12/01/2012,53,,,,,,,,,,,,,,,,,,
13/01/2012,48,,,,,,,,,,,,,,,,,,
14/01/2012,57,,,,,,,,,,,,,,,,,,
15/01/2012,32,,,,,,,,,,,,,,,,,,
16/01/2012,30,,,,,,,,,,,,,,,,,,
17/01/2012,41,,,,,,,,,,,,,,,,,,
18/01/2012,27,,,,,,,,,,,,,,,,,,
19/01/2012,19,,,,,,,,,,,,,,,,,,
20/01/2012,19,,,,,,,,,,,,,,,,,,
21/01/2012,20,,,,,,,,,,,,,,,,,,
22/01/2012,19,,,,,,,,,,,,,,,,,,
23/01/2012,23,,,,,,,,,,,,,,,,,,
24/01/2012,N/A,,,,,,,,,,,,,,,,,,
25/01/2012,41,,,,,,,,,,,,,,,,,,
26/01/2012,53,,,,,,,,,,,,,,,,,,
27/01/2012,49,,,,,,,,,,,,,,,,,,
28/01/2012,58,,,,,,,,,,,,,,,,,,
29/01/2012,58,,,,,,,,,,,,,,,,,,
30/01/2012,56,,,,,,,,,,,,,,,,,,
31/01/2012,51,,,,,,,,,,,,,,,,,,
01/02/2012,58,,,,,,,,,,,,,,,,,,
02/02/2012,70,,,,,,,,,,,,,,,,,,
03/02/2012,55,,,,,,,,,,,,,,,,,,
04/02/2012,60,,,,,,,,,,,,,,,,,,
05/02/2012,42,,,,,,,,,,,,,,,,,,
06/02/2012,27,,,,,,,,,,,,,,,,,,
07/02/2012,26,,,,,,,,,,,,,,,,,,
08/02/2012,28,,,,,,,,,,,,,,,,,,
09/02/2012,28,,,,,,,,,,,,,,,,,,
10/02/2012,24,,,,,,,,,,,,,,,,,,
11/02/2012,33,,,,,,,,,,,,,,,,,,
12/02/2012,46,,,,,,,,,,,,,,,,,,
13/02/2012,43,,,,,,,,,,,,,,,,,,
14/02/2012,38,,,,,,,,,,,,,,,,,,
15/02/2012,41,,,,,,,,,,,,,,,,,,
16/02/2012,49,,,,,,,,,,,,,,,,,,
17/02/2012,55,,,,,,,,,,,,,,,,,,
18/02/2012,32,,,,,,,,,,,,,,,,,,
19/02/2012,42,,,,,,,,,,,,,,,,,,
20/02/2012,56,,,,,,,,,,,,,,,,,,
21/02/2012,79,,,,,,,,,,,,,,,,,,
22/02/2012,66,,,,,,,,,,,,,,,,,,
23/02/2012,48,,,,,,,,,,,,,,,,,,
24/02/2012,31,,,,,,,,,,,,,,,,,,
25/02/2012,20,,,,,,,,,,,,,,,,,,
26/02/2012,17,,,,,,,,,,,,,,,,,,
27/02/2012,19,,,,,,,,,,,,,,,,,,
28/02/2012,15,,,,,,,,,,,,,,,,,,
29/02/2012,23,,,,,,,,,,,,,,,,,,
01/03/2012,26,,,,,,,,,,,,,,,,,,
02/03/2012,29,,,,,,,,,,,,,,,,,,
03/03/2012,26,,,,,,,,,,,,,,,,,,
04/03/2012,20,,,,,,,,,,,,,,,,,,
05/03/2012,21,,,,,,,,,,,,,,,,,,
06/03/2012,21,,,,,,,,,,,,,,,,,,
07/03/2012,21,,,,,,,,,,,,,,,,,,
08/03/2012,19,,,,,,,,,,,,,,,,,,
09/03/2012,20,,,,,,,,,,,,,,,,,,
10/03/2012,19,,,,,,,,,,,,,,,,,,
11/03/2012,41,,,,,,,,,,,,,,,,,,
12/03/2012,57,,,,,,,,,,,,,,,,,,
13/03/2012,38,,,,,,,,,,,,,,,,,,
14/03/2012,46,,,,,,,,,,,,,,,,,,
15/03/2012,45,,,,,,,,,,,,,,,,,,
16/03/2012,29,,,,,,,,,,,,,,,,,,
17/03/2012,24,,,,,,,,,,,,,,,,,,
18/03/2012,36,,,,,,,,,,,,,,,,,,
19/03/2012,38,,,,,,,,,,,,,,,,,,
20/03/2012,58,,,,,,,,,,,,,,,,,,
21/03/2012,65,,,,,,,,,,,,,,,,,,
22/03/2012,59,,,,,,,,,,,,,,,,,,
23/03/2012,73,,,,,,,,,,,,,,,,,,
24/03/2012,56,,,,,,,,,,,,,,,,,,
25/03/2012,56,,,,,,,,,,,,,,,,,,
26/03/2012,50,,,,,,,,,,,,,,,,,,
27/03/2012,72,,,,,,,,,,,,,,,,,,
28/03/2012,78,,,,,,,,,,,,,,,,,,
29/03/2012,61,,,,,,,,,,,,,,,,,,
30/03/2012,70,,,,,,,,,,,,,,,,,,
31/03/2012,70,,,,,,,,,,,,,,,,,,
01/04/2012,67,,,,,,,,,,,,,,,,,,
02/04/2012,86,,,,,,,,,,,,,,,,,,
03/04/2012,81,,,,,,,,,,,,,,,,,,
04/04/2012,42,,,,,,,,,,,,,,,,,,
