Date,54T,,,,,,,,,,,,,,,,,,,,
01/01/2013,43,,,,,,,,,,,,,,,,,,,,
02/01/2013,56,,,,,,,,,,,,,,,,,,,,
03/01/2013,59,,,,,,,,,,,,,,,,,,,,
04/01/2013,N/A,,,,,,,,,,,,,,,,,,,,
05/01/2013,N/A,,,,,,,,,,,,,,,,,,,,
06/01/2013,62,,,,,,,,,,,,,,,,,,,,
07/01/2013,59,,,,,,,,,,,,,,,,,,,,
08/01/2013,78,,,,,,,,,,,,,,,,,,,,
09/01/2013,86,,,,,,,,,,,,,,,,,,,,
10/01/2013,69,,,,,,,,,,,,,,,,,,,,
11/01/2013,55,,,,,,,,,,,,,,,,,,,,
12/01/2013,N/A,,,,,,,,,,,,,,,,,,,,
13/01/2013,40,,,,,,,,,,,,,,,,,,,,
14/01/2013,39,,,,,,,,,,,,,,,,,,,,
15/01/2013,43,,,,,,,,,,,,,,,,,,,,
16/01/2013,51,,,,,,,,,,,,,,,,,,,,
17/01/2013,62,,,,,,,,,,,,,,,,,,,,
18/01/2013,46,,,,,,,,,,,,,,,,,,,,
19/01/2013,55,,,,,,,,,,,,,,,,,,,,
20/01/2013,74,,,,,,,,,,,,,,,,,,,,
21/01/2013,84,,,,,,,,,,,,,,,,,,,,
22/01/2013,112,,,,,,,,,,,,,,,,,,,,
23/01/2013,72,,,,,,,,,,,,,,,,,,,,
24/01/2013,41,,,,,,,,,,,,,,,,,,,,
25/01/2013,34,,,,,,,,,,,,,,,,,,,,
26/01/2013,30,,,,,,,,,,,,,,,,,,,,
27/01/2013,31,,,,,,,,,,,,,,,,,,,,
28/01/2013,44,,,,,,,,,,,,,,,,,,,,
29/01/2013,61,,,,,,,,,,,,,,,,,,,,
30/01/2013,58,,,,,,,,,,,,,,,,,,,,
31/01/2013,44,,,,,,,,,,,,,,,,,,,,
01/02/2013,58,,,,,,,,,,,,,,,,,,,,
02/02/2013,72,,,,,,,,,,,,,,,,,,,,
03/02/2013,73,,,,,,,,,,,,,,,,,,,,
04/02/2013,88,,,,,,,,,,,,,,,,,,,,
05/02/2013,97,,,,,,,,,,,,,,,,,,,,
06/02/2013,29,,,,,,,,,,,,,,,,,,,,
07/02/2013,38,,,,,,,,,,,,,,,,,,,,
08/02/2013,34,,,,,,,,,,,,,,,,,,,,
09/02/2013,31,,,,,,,,,,,,,,,,,,,,
10/02/2013,46,,,,,,,,,,,,,,,,,,,,
11/02/2013,57,,,,,,,,,,,,,,,,,,,,
12/02/2013,57,,,,,,,,,,,,,,,,,,,,
13/02/2013,64,,,,,,,,,,,,,,,,,,,,
14/02/2013,89,,,,,,,,,,,,,,,,,,,,
15/02/2013,109,,,,,,,,,,,,,,,,,,,,
16/02/2013,49,,,,,,,,,,,,,,,,,,,,
17/02/2013,34,,,,,,,,,,,,,,,,,,,,
18/02/2013,32,,,,,,,,,,,,,,,,,,,,
19/02/2013,33,,,,,,,,,,,,,,,,,,,,
20/02/2013,N/A,,,,,,,,,,,,,,,,,,,,
21/02/2013,N/A,,,,,,,,,,,,,,,,,,,,
22/02/2013,N/A,,,,,,,,,,,,,,,,,,,,
23/02/2013,47,,,,,,,,,,,,,,,,,,,,
24/02/2013,60,,,,,,,,,,,,,,,,,,,,
25/02/2013,70,,,,,,,,,,,,,,,,,,,,
26/02/2013,63,,,,,,,,,,,,,,,,,,,,
27/02/2013,31,,,,,,,,,,,,,,,,,,,,
28/02/2013,32,,,,,,,,,,,,,,,,,,,,
01/03/2013,22,,,,,,,,,,,,,,,,,,,,
02/03/2013,28,,,,,,,,,,,,,,,,,,,,
03/03/2013,39,,,,,,,,,,,,,,,,,,,,
04/03/2013,44,,,,,,,,,,,,,,,,,,,,
05/03/2013,50,,,,,,,,,,,,,,,,,,,,
06/03/2013,68,,,,,,,,,,,,,,,,,,,,
07/03/2013,80,,,,,,,,,,,,,,,,,,,,
08/03/2013,72,,,,,,,,,,,,,,,,,,,,
09/03/2013,35,,,,,,,,,,,,,,,,,,,,
10/03/2013,37,,,,,,,,,,,,,,,,,,,,
11/03/2013,40,,,,,,,,,,,,,,,,,,,,
12/03/2013,38,,,,,,,,,,,,,,,,,,,,
13/03/2013,47,,,,,,,,,,,,,,,,,,,,
14/03/2013,33,,,,,,,,,,,,,,,,,,,,
15/03/2013,46,,,,,,,,,,,,,,,,,,,,
16/03/2013,43,,,,,,,,,,,,,,,,,,,,
17/03/2013,27,,,,,,,,,,,,,,,,,,,,
18/03/2013,29,,,,,,,,,,,,,,,,,,,,
19/03/2013,36,,,,,,,,,,,,,,,,,,,,
20/03/2013,30,,,,,,,,,,,,,,,,,,,,
21/03/2013,32,,,,,,,,,,,,,,,,,,,,
22/03/2013,24,,,,,,,,,,,,,,,,,,,,
23/03/2013,22,,,,,,,,,,,,,,,,,,,,
24/03/2013,21,,,,,,,,,,,,,,,,,,,,
25/03/2013,27,,,,,,,,,,,,,,,,,,,,
26/03/2013,41,,,,,,,,,,,,,,,,,,,,
27/03/2013,41,,,,,,,,,,,,,,,,,,,,
28/03/2013,41,,,,,,,,,,,,,,,,,,,,
29/03/2013,30,,,,,,,,,,,,,,,,,,,,
30/03/2013,29,,,,,,,,,,,,,,,,,,,,
31/03/2013,20,,,,,,,,,,,,,,,,,,,,
01/04/2013,20,,,,,,,,,,,,,,,,,,,,
02/04/2013,19,,,,,,,,,,,,,,,,,,,,
03/04/2013,27,,,,,,,,,,,,,,,,,,,,
04/04/2013,32,,,,,,,,,,,,,,,,,,,,
05/04/2013,49,,,,,,,,,,,,,,,,,,,,
06/04/2013,61,,,,,,,,,,,,,,,,,,,,
07/04/2013,60,,,,,,,,,,,,,,,,,,,,
08/04/2013,61,,,,,,,,,,,,,,,,,,,,
09/04/2013,55,,,,,,,,,,,,,,,,,,,,
10/04/2013,47,,,,,,,,,,,,,,,,,,,,
11/04/2013,36,,,,,,,,,,,,,,,,,,,,
12/04/2013,35,,,,,,,,,,,,,,,,,,,,
13/04/2013,37,,,,,,,,,,,,,,,,,,,,
14/04/2013,21,,,,,,,,,,,,,,,,,,,,
15/04/2013,20,,,,,,,,,,,,,,,,,,,,
16/04/2013,20,,,,,,,,,,,,,,,,,,,,
17/04/2013,23,,,,,,,,,,,,,,,,,,,,
18/04/2013,32,,,,,,,,,,,,,,,,,,,,
19/04/2013,31,,,,,,,,,,,,,,,,,,,,
20/04/2013,28,,,,,,,,,,,,,,,,,,,,
21/04/2013,26,,,,,,,,,,,,,,,,,,,,
22/04/2013,26,,,,,,,,,,,,,,,,,,,,
23/04/2013,26,,,,,,,,,,,,,,,,,,,,
24/04/2013,34,,,,,,,,,,,,,,,,,,,,
25/04/2013,19,,,,,,,,,,,,,,,,,,,,
26/04/2013,20,,,,,,,,,,,,,,,,,,,,
27/04/2013,17,,,,,,,,,,,,,,,,,,,,
28/04/2013,30,,,,,,,,,,,,,,,,,,,,
29/04/2013,21,,,,,,,,,,,,,,,,,,,,
30/04/2013,17,,,,,,,,,,,,,,,,,,,,
01/05/2013,18,,,,,,,,,,,,,,,,,,,,
02/05/2013,23,,,,,,,,,,,,,,,,,,,,
03/05/2013,31,,,,,,,,,,,,,,,,,,,,
04/05/2013,22,,,,,,,,,,,,,,,,,,,,
05/05/2013,28,,,,,,,,,,,,,,,,,,,,
06/05/2013,34,,,,,,,,,,,,,,,,,,,,
07/05/2013,27,,,,,,,,,,,,,,,,,,,,
08/05/2013,24,,,,,,,,,,,,,,,,,,,,
09/05/2013,25,,,,,,,,,,,,,,,,,,,,
10/05/2013,19,,,,,,,,,,,,,,,,,,,,
11/05/2013,14,,,,,,,,,,,,,,,,,,,,
12/05/2013,20,,,,,,,,,,,,,,,,,,,,
13/05/2013,23,,,,,,,,,,,,,,,,,,,,
14/05/2013,N/A,,,,,,,,,,,,,,,,,,,,
15/05/2013,35,,,,,,,,,,,,,,,,,,,,
16/05/2013,20,,,,,,,,,,,,,,,,,,,,
17/05/2013,21,,,,,,,,,,,,,,,,,,,,
18/05/2013,19,,,,,,,,,,,,,,,,,,,,
19/05/2013,22,,,,,,,,,,,,,,,,,,,,
20/05/2013,22,,,,,,,,,,,,,,,,,,,,
21/05/2013,21,,,,,,,,,,,,,,,,,,,,
22/05/2013,27,,,,,,,,,,,,,,,,,,,,
23/05/2013,32,,,,,,,,,,,,,,,,,,,,
24/05/2013,26,,,,,,,,,,,,,,,,,,,,
25/05/2013,19,,,,,,,,,,,,,,,,,,,,
26/05/2013,13,,,,,,,,,,,,,,,,,,,,
27/05/2013,21,,,,,,,,,,,,,,,,,,,,
28/05/2013,22,,,,,,,,,,,,,,,,,,,,
29/05/2013,26,,,,,,,,,,,,,,,,,,,,
30/05/2013,N/A,,,,,,,,,,,,,,,,,,,,
31/05/2013,N/A,,,,,,,,,,,,,,,,,,,,
01/06/2013,N/A,,,,,,,,,,,,,,,,,,,,
02/06/2013,N/A,,,,,,,,,,,,,,,,,,,,
03/06/2013,N/A,,,,,,,,,,,,,,,,,,,,
04/06/2013,33,,,,,,,,,,,,,,,,,,,,
05/06/2013,36,,,,,,,,,,,,,,,,,,,,
06/06/2013,37,,,,,,,,,,,,,,,,,,,,
07/06/2013,35,,,,,,,,,,,,,,,,,,,,
08/06/2013,37,,,,,,,,,,,,,,,,,,,,
09/06/2013,38,,,,,,,,,,,,,,,,,,,,
10/06/2013,38,,,,,,,,,,,,,,,,,,,,
11/06/2013,36,,,,,,,,,,,,,,,,,,,,
12/06/2013,35,,,,,,,,,,,,,,,,,,,,
13/06/2013,37,,,,,,,,,,,,,,,,,,,,
14/06/2013,37,,,,,,,,,,,,,,,,,,,,
15/06/2013,39,,,,,,,,,,,,,,,,,,,,
16/06/2013,41,,,,,,,,,,,,,,,,,,,,
17/06/2013,40,,,,,,,,,,,,,,,,,,,,
18/06/2013,43,,,,,,,,,,,,,,,,,,,,
19/06/2013,37,,,,,,,,,,,,,,,,,,,,
20/06/2013,38,,,,,,,,,,,,,,,,,,,,
21/06/2013,38,,,,,,,,,,,,,,,,,,,,
22/06/2013,37,,,,,,,,,,,,,,,,,,,,
23/06/2013,39,,,,,,,,,,,,,,,,,,,,
24/06/2013,39,,,,,,,,,,,,,,,,,,,,
25/06/2013,N/A,,,,,,,,,,,,,,,,,,,,
26/06/2013,N/A,,,,,,,,,,,,,,,,,,,,
27/06/2013,N/A,,,,,,,,,,,,,,,,,,,,
28/06/2013,N/A,,,,,,,,,,,,,,,,,,,,
29/06/2013,N/A,,,,,,,,,,,,,,,,,,,,
30/06/2013,N/A,,,,,,,,,,,,,,,,,,,,
01/07/2013,N/A,,,,,,,,,,,,,,,,,,,,
02/07/2013,N/A,,,,,,,,,,,,,,,,,,,,
03/07/2013,N/A,,,,,,,,,,,,,,,,,,,,
04/07/2013,27,,,,,,,,,,,,,,,,,,,,
05/07/2013,35,,,,,,,,,,,,,,,,,,,,
06/07/2013,35,,,,,,,,,,,,,,,,,,,,
07/07/2013,29,,,,,,,,,,,,,,,,,,,,
08/07/2013,20,,,,,,,,,,,,,,,,,,,,
09/07/2013,21,,,,,,,,,,,,,,,,,,,,
10/07/2013,25,,,,,,,,,,,,,,,,,,,,
11/07/2013,27,,,,,,,,,,,,,,,,,,,,
