Date,61T,54T,,,,,,,,,,,,,,,,,,,,,
01/01/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
02/01/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
03/01/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
04/01/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
05/01/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
06/01/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
07/01/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
08/01/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
09/01/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
10/01/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
11/01/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
12/01/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
13/01/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
14/01/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
15/01/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
16/01/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
17/01/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
18/01/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
19/01/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
20/01/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
21/01/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
22/01/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
23/01/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
24/01/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
25/01/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
26/01/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
27/01/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
28/01/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
29/01/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
30/01/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
31/01/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
01/02/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
02/02/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
03/02/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
04/02/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
05/02/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
06/02/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
07/02/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
08/02/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
09/02/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
10/02/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
11/02/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
12/02/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
13/02/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
14/02/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
15/02/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
16/02/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
17/02/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
18/02/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
19/02/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
20/02/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
21/02/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
22/02/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
23/02/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
24/02/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
25/02/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
26/02/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
27/02/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
28/02/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
01/03/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
02/03/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
03/03/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
04/03/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
05/03/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
06/03/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
07/03/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
08/03/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
09/03/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
10/03/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
11/03/2014,N/A,44,,,,,,,,,,,,,,,,,,,,,
12/03/2014,N/A,44,,,,,,,,,,,,,,,,,,,,,
13/03/2014,N/A,58,,,,,,,,,,,,,,,,,,,,,
14/03/2014,N/A,44,,,,,,,,,,,,,,,,,,,,,
15/03/2014,N/A,39,,,,,,,,,,,,,,,,,,,,,
16/03/2014,N/A,50,,,,,,,,,,,,,,,,,,,,,
17/03/2014,N/A,40,,,,,,,,,,,,,,,,,,,,,
18/03/2014,N/A,28,,,,,,,,,,,,,,,,,,,,,
19/03/2014,N/A,28,,,,,,,,,,,,,,,,,,,,,
20/03/2014,N/A,36,,,,,,,,,,,,,,,,,,,,,
21/03/2014,N/A,54,,,,,,,,,,,,,,,,,,,,,
22/03/2014,N/A,47,,,,,,,,,,,,,,,,,,,,,
23/03/2014,N/A,63,,,,,,,,,,,,,,,,,,,,,
24/03/2014,N/A,64,,,,,,,,,,,,,,,,,,,,,
25/03/2014,N/A,48,,,,,,,,,,,,,,,,,,,,,
26/03/2014,N/A,39,,,,,,,,,,,,,,,,,,,,,
27/03/2014,N/A,44,,,,,,,,,,,,,,,,,,,,,
28/03/2014,N/A,43,,,,,,,,,,,,,,,,,,,,,
29/03/2014,N/A,43,,,,,,,,,,,,,,,,,,,,,
30/03/2014,N/A,31,,,,,,,,,,,,,,,,,,,,,
31/03/2014,N/A,28,,,,,,,,,,,,,,,,,,,,,
01/04/2014,N/A,33,,,,,,,,,,,,,,,,,,,,,
02/04/2014,N/A,44,,,,,,,,,,,,,,,,,,,,,
03/04/2014,N/A,40,,,,,,,,,,,,,,,,,,,,,
04/04/2014,N/A,36,,,,,,,,,,,,,,,,,,,,,
05/04/2014,N/A,48,,,,,,,,,,,,,,,,,,,,,
06/04/2014,N/A,50,,,,,,,,,,,,,,,,,,,,,
07/04/2014,N/A,31,,,,,,,,,,,,,,,,,,,,,
08/04/2014,N/A,56,,,,,,,,,,,,,,,,,,,,,
09/04/2014,N/A,68,,,,,,,,,,,,,,,,,,,,,
10/04/2014,N/A,76,,,,,,,,,,,,,,,,,,,,,
11/04/2014,N/A,72,,,,,,,,,,,,,,,,,,,,,
12/04/2014,N/A,70,,,,,,,,,,,,,,,,,,,,,
13/04/2014,N/A,72,,,,,,,,,,,,,,,,,,,,,
14/04/2014,N/A,60,,,,,,,,,,,,,,,,,,,,,
15/04/2014,N/A,43,,,,,,,,,,,,,,,,,,,,,
16/04/2014,N/A,37,,,,,,,,,,,,,,,,,,,,,
17/04/2014,N/A,39,,,,,,,,,,,,,,,,,,,,,
18/04/2014,N/A,38,,,,,,,,,,,,,,,,,,,,,
19/04/2014,N/A,38,,,,,,,,,,,,,,,,,,,,,
20/04/2014,N/A,34,,,,,,,,,,,,,,,,,,,,,
21/04/2014,N/A,33,,,,,,,,,,,,,,,,,,,,,
22/04/2014,N/A,33,,,,,,,,,,,,,,,,,,,,,
23/04/2014,N/A,41,,,,,,,,,,,,,,,,,,,,,
24/04/2014,N/A,34,,,,,,,,,,,,,,,,,,,,,
25/04/2014,N/A,39,,,,,,,,,,,,,,,,,,,,,
26/04/2014,N/A,33,,,,,,,,,,,,,,,,,,,,,
27/04/2014,N/A,31,,,,,,,,,,,,,,,,,,,,,
28/04/2014,N/A,38,,,,,,,,,,,,,,,,,,,,,
29/04/2014,N/A,42,,,,,,,,,,,,,,,,,,,,,
30/04/2014,N/A,38,,,,,,,,,,,,,,,,,,,,,
01/05/2014,N/A,35,,,,,,,,,,,,,,,,,,,,,
02/05/2014,N/A,49,,,,,,,,,,,,,,,,,,,,,
03/05/2014,N/A,41,,,,,,,,,,,,,,,,,,,,,
04/05/2014,N/A,42,,,,,,,,,,,,,,,,,,,,,
05/05/2014,N/A,39,,,,,,,,,,,,,,,,,,,,,
06/05/2014,N/A,50,,,,,,,,,,,,,,,,,,,,,
07/05/2014,N/A,38,,,,,,,,,,,,,,,,,,,,,
08/05/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
09/05/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
10/05/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
11/05/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
12/05/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
13/05/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
14/05/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
15/05/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
16/05/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
17/05/2014,N/A,24,,,,,,,,,,,,,,,,,,,,,
18/05/2014,N/A,21,,,,,,,,,,,,,,,,,,,,,
19/05/2014,N/A,19,,,,,,,,,,,,,,,,,,,,,
20/05/2014,N/A,18,,,,,,,,,,,,,,,,,,,,,
21/05/2014,N/A,19,,,,,,,,,,,,,,,,,,,,,
22/05/2014,N/A,17,,,,,,,,,,,,,,,,,,,,,
23/05/2014,N/A,15,,,,,,,,,,,,,,,,,,,,,
24/05/2014,N/A,30,,,,,,,,,,,,,,,,,,,,,
25/05/2014,N/A,31,,,,,,,,,,,,,,,,,,,,,
26/05/2014,N/A,33,,,,,,,,,,,,,,,,,,,,,
27/05/2014,N/A,27,,,,,,,,,,,,,,,,,,,,,
28/05/2014,N/A,35,,,,,,,,,,,,,,,,,,,,,
29/05/2014,N/A,35,,,,,,,,,,,,,,,,,,,,,
30/05/2014,N/A,25,,,,,,,,,,,,,,,,,,,,,
31/05/2014,N/A,28,,,,,,,,,,,,,,,,,,,,,
01/06/2014,N/A,30,,,,,,,,,,,,,,,,,,,,,
02/06/2014,N/A,34,,,,,,,,,,,,,,,,,,,,,
03/06/2014,N/A,27,,,,,,,,,,,,,,,,,,,,,
04/06/2014,N/A,28,,,,,,,,,,,,,,,,,,,,,
05/06/2014,N/A,24,,,,,,,,,,,,,,,,,,,,,
06/06/2014,N/A,24,,,,,,,,,,,,,,,,,,,,,
07/06/2014,N/A,22,,,,,,,,,,,,,,,,,,,,,
08/06/2014,N/A,21,,,,,,,,,,,,,,,,,,,,,
09/06/2014,N/A,24,,,,,,,,,,,,,,,,,,,,,
10/06/2014,N/A,24,,,,,,,,,,,,,,,,,,,,,
11/06/2014,N/A,24,,,,,,,,,,,,,,,,,,,,,
12/06/2014,N/A,21,,,,,,,,,,,,,,,,,,,,,
13/06/2014,N/A,22,,,,,,,,,,,,,,,,,,,,,
14/06/2014,N/A,23,,,,,,,,,,,,,,,,,,,,,
15/06/2014,N/A,19,,,,,,,,,,,,,,,,,,,,,
16/06/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
17/06/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
18/06/2014,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
19/06/2014,N/A,31,,,,,,,,,,,,,,,,,,,,,
20/06/2014,N/A,33,,,,,,,,,,,,,,,,,,,,,
21/06/2014,N/A,37,,,,,,,,,,,,,,,,,,,,,
22/06/2014,N/A,34,,,,,,,,,,,,,,,,,,,,,
23/06/2014,N/A,33,,,,,,,,,,,,,,,,,,,,,
24/06/2014,N/A,25,,,,,,,,,,,,,,,,,,,,,
25/06/2014,N/A,24,,,,,,,,,,,,,,,,,,,,,
26/06/2014,N/A,34,,,,,,,,,,,,,,,,,,,,,
27/06/2014,N/A,40,,,,,,,,,,,,,,,,,,,,,
28/06/2014,N/A,31,,,,,,,,,,,,,,,,,,,,,
29/06/2014,N/A,29,,,,,,,,,,,,,,,,,,,,,
30/06/2014,N/A,31,,,,,,,,,,,,,,,,,,,,,
01/07/2014,N/A,31,,,,,,,,,,,,,,,,,,,,,
02/07/2014,N/A,29,,,,,,,,,,,,,,,,,,,,,
03/07/2014,N/A,25,,,,,,,,,,,,,,,,,,,,,
04/07/2014,N/A,28,,,,,,,,,,,,,,,,,,,,,
05/07/2014,N/A,26,,,,,,,,,,,,,,,,,,,,,
06/07/2014,N/A,27,,,,,,,,,,,,,,,,,,,,,
07/07/2014,N/A,24,,,,,,,,,,,,,,,,,,,,,
08/07/2014,N/A,20,,,,,,,,,,,,,,,,,,,,,
09/07/2014,N/A,24,,,,,,,,,,,,,,,,,,,,,
10/07/2014,N/A,22,,,,,,,,,,,,,,,,,,,,,
11/07/2014,N/A,24,,,,,,,,,,,,,,,,,,,,,
12/07/2014,N/A,19,,,,,,,,,,,,,,,,,,,,,
13/07/2014,N/A,26,,,,,,,,,,,,,,,,,,,,,
14/07/2014,N/A,39,,,,,,,,,,,,,,,,,,,,,
15/07/2014,N/A,26,,,,,,,,,,,,,,,,,,,,,
16/07/2014,N/A,28,,,,,,,,,,,,,,,,,,,,,
17/07/2014,N/A,25,,,,,,,,,,,,,,,,,,,,,
18/07/2014,N/A,23,,,,,,,,,,,,,,,,,,,,,
19/07/2014,N/A,25,,,,,,,,,,,,,,,,,,,,,
20/07/2014,N/A,32,,,,,,,,,,,,,,,,,,,,,
21/07/2014,N/A,31,,,,,,,,,,,,,,,,,,,,,
22/07/2014,N/A,29,,,,,,,,,,,,,,,,,,,,,
23/07/2014,N/A,28,,,,,,,,,,,,,,,,,,,,,
24/07/2014,N/A,23,,,,,,,,,,,,,,,,,,,,,
25/07/2014,N/A,28,,,,,,,,,,,,,,,,,,,,,
26/07/2014,N/A,27,,,,,,,,,,,,,,,,,,,,,
27/07/2014,N/A,27,,,,,,,,,,,,,,,,,,,,,
28/07/2014,N/A,26,,,,,,,,,,,,,,,,,,,,,
29/07/2014,N/A,33,,,,,,,,,,,,,,,,,,,,,
30/07/2014,N/A,39,,,,,,,,,,,,,,,,,,,,,
31/07/2014,N/A,39,,,,,,,,,,,,,,,,,,,,,
01/08/2014,N/A,37,,,,,,,,,,,,,,,,,,,,,
02/08/2014,N/A,32,,,,,,,,,,,,,,,,,,,,,
03/08/2014,N/A,34,,,,,,,,,,,,,,,,,,,,,
04/08/2014,N/A,35,,,,,,,,,,,,,,,,,,,,,
05/08/2014,N/A,26,,,,,,,,,,,,,,,,,,,,,
06/08/2014,N/A,24,,,,,,,,,,,,,,,,,,,,,
07/08/2014,N/A,27,,,,,,,,,,,,,,,,,,,,,
08/08/2014,N/A,23,,,,,,,,,,,,,,,,,,,,,
09/08/2014,N/A,25,,,,,,,,,,,,,,,,,,,,,
10/08/2014,N/A,25,,,,,,,,,,,,,,,,,,,,,
11/08/2014,N/A,23,,,,,,,,,,,,,,,,,,,,,
12/08/2014,N/A,25,,,,,,,,,,,,,,,,,,,,,
13/08/2014,N/A,28,,,,,,,,,,,,,,,,,,,,,
14/08/2014,N/A,32,,,,,,,,,,,,,,,,,,,,,
15/08/2014,8,29,,,,,,,,,,,,,,,,,,,,,
16/08/2014,9,40,,,,,,,,,,,,,,,,,,,,,
17/08/2014,8,31,,,,,,,,,,,,,,,,,,,,,
18/08/2014,N/A,28,,,,,,,,,,,,,,,,,,,,,
19/08/2014,8,28,,,,,,,,,,,,,,,,,,,,,
20/08/2014,10,34,,,,,,,,,,,,,,,,,,,,,
21/08/2014,9,31,,,,,,,,,,,,,,,,,,,,,
22/08/2014,13,40,,,,,,,,,,,,,,,,,,,,,
23/08/2014,N/A,39,,,,,,,,,,,,,,,,,,,,,
24/08/2014,N/A,26,,,,,,,,,,,,,,,,,,,,,
25/08/2014,10,35,,,,,,,,,,,,,,,,,,,,,
26/08/2014,7,35,,,,,,,,,,,,,,,,,,,,,
27/08/2014,14,N/A,,,,,,,,,,,,,,,,,,,,,
28/08/2014,5,N/A,,,,,,,,,,,,,,,,,,,,,
29/08/2014,8,24,,,,,,,,,,,,,,,,,,,,,
30/08/2014,6,20,,,,,,,,,,,,,,,,,,,,,
31/08/2014,N/A,21,,,,,,,,,,,,,,,,,,,,,
01/09/2014,N/A,20,,,,,,,,,,,,,,,,,,,,,
02/09/2014,5,19,,,,,,,,,,,,,,,,,,,,,
03/09/2014,7,24,,,,,,,,,,,,,,,,,,,,,
04/09/2014,9,24,,,,,,,,,,,,,,,,,,,,,
05/09/2014,6,17,,,,,,,,,,,,,,,,,,,,,
06/09/2014,N/A,19,,,,,,,,,,,,,,,,,,,,,
07/09/2014,6,21,,,,,,,,,,,,,,,,,,,,,
08/09/2014,4,17,,,,,,,,,,,,,,,,,,,,,
09/09/2014,N/A,20,,,,,,,,,,,,,,,,,,,,,
10/09/2014,N/A,21,,,,,,,,,,,,,,,,,,,,,
11/09/2014,7,22,,,,,,,,,,,,,,,,,,,,,
12/09/2014,6,24,,,,,,,,,,,,,,,,,,,,,
13/09/2014,6,22,,,,,,,,,,,,,,,,,,,,,
14/09/2014,7,21,,,,,,,,,,,,,,,,,,,,,
15/09/2014,7,26,,,,,,,,,,,,,,,,,,,,,
16/09/2014,4,25,,,,,,,,,,,,,,,,,,,,,
17/09/2014,N/A,14,,,,,,,,,,,,,,,,,,,,,
18/09/2014,5,20,,,,,,,,,,,,,,,,,,,,,
19/09/2014,6,29,,,,,,,,,,,,,,,,,,,,,
20/09/2014,9,24,,,,,,,,,,,,,,,,,,,,,
21/09/2014,6,23,,,,,,,,,,,,,,,,,,,,,
22/09/2014,11,25,,,,,,,,,,,,,,,,,,,,,
23/09/2014,7,21,,,,,,,,,,,,,,,,,,,,,
24/09/2014,9,30,,,,,,,,,,,,,,,,,,,,,
25/09/2014,13,32,,,,,,,,,,,,,,,,,,,,,
26/09/2014,9,29,,,,,,,,,,,,,,,,,,,,,
27/09/2014,10,29,,,,,,,,,,,,,,,,,,,,,
28/09/2014,13,29,,,,,,,,,,,,,,,,,,,,,
29/09/2014,10,26,,,,,,,,,,,,,,,,,,,,,
30/09/2014,16,32,,,,,,,,,,,,,,,,,,,,,
01/10/2014,13,38,,,,,,,,,,,,,,,,,,,,,
02/10/2014,12,29,,,,,,,,,,,,,,,,,,,,,
03/10/2014,18,37,,,,,,,,,,,,,,,,,,,,,
04/10/2014,18,37,,,,,,,,,,,,,,,,,,,,,
05/10/2014,10,30,,,,,,,,,,,,,,,,,,,,,
06/10/2014,8,25,,,,,,,,,,,,,,,,,,,,,
07/10/2014,17,27,,,,,,,,,,,,,,,,,,,,,
08/10/2014,9,24,,,,,,,,,,,,,,,,,,,,,
09/10/2014,14,32,,,,,,,,,,,,,,,,,,,,,
10/10/2014,9,25,,,,,,,,,,,,,,,,,,,,,
11/10/2014,N/A,22,,,,,,,,,,,,,,,,,,,,,
12/10/2014,32,49,,,,,,,,,,,,,,,,,,,,,
13/10/2014,42,59,,,,,,,,,,,,,,,,,,,,,
14/10/2014,37,50,,,,,,,,,,,,,,,,,,,,,
15/10/2014,51,65,,,,,,,,,,,,,,,,,,,,,
16/10/2014,57,74,,,,,,,,,,,,,,,,,,,,,
17/10/2014,N/A,59,,,,,,,,,,,,,,,,,,,,,
18/10/2014,N/A,38,,,,,,,,,,,,,,,,,,,,,
19/10/2014,N/A,28,,,,,,,,,,,,,,,,,,,,,
20/10/2014,N/A,24,,,,,,,,,,,,,,,,,,,,,
21/10/2014,13,38,,,,,,,,,,,,,,,,,,,,,
22/10/2014,12,35,,,,,,,,,,,,,,,,,,,,,
23/10/2014,6,28,,,,,,,,,,,,,,,,,,,,,
24/10/2014,11,36,,,,,,,,,,,,,,,,,,,,,
25/10/2014,N/A,29,,,,,,,,,,,,,,,,,,,,,
26/10/2014,9,25,,,,,,,,,,,,,,,,,,,,,
27/10/2014,14,33,,,,,,,,,,,,,,,,,,,,,
28/10/2014,9,29,,,,,,,,,,,,,,,,,,,,,
29/10/2014,11,24,,,,,,,,,,,,,,,,,,,,,
30/10/2014,23,45,,,,,,,,,,,,,,,,,,,,,
31/10/2014,27,46,,,,,,,,,,,,,,,,,,,,,
01/11/2014,9,26,,,,,,,,,,,,,,,,,,,,,
02/11/2014,8,30,,,,,,,,,,,,,,,,,,,,,
03/11/2014,8,22,,,,,,,,,,,,,,,,,,,,,
04/11/2014,10,30,,,,,,,,,,,,,,,,,,,,,
05/11/2014,17,41,,,,,,,,,,,,,,,,,,,,,
06/11/2014,25,51,,,,,,,,,,,,,,,,,,,,,
07/11/2014,17,36,,,,,,,,,,,,,,,,,,,,,
08/11/2014,17,36,,,,,,,,,,,,,,,,,,,,,
09/11/2014,14,32,,,,,,,,,,,,,,,,,,,,,
10/11/2014,17,33,,,,,,,,,,,,,,,,,,,,,
11/11/2014,26,42,,,,,,,,,,,,,,,,,,,,,
12/11/2014,28,40,,,,,,,,,,,,,,,,,,,,,
