Date,59T,61T,54T
01/01/2015,N/A,31,42
02/01/2015,N/A,36,48
03/01/2015,N/A,47,68
04/01/2015,N/A,54,77
05/01/2015,N/A,56,80
06/01/2015,N/A,48,57
07/01/2015,N/A,25,38
08/01/2015,N/A,24,38
09/01/2015,N/A,21,38
10/01/2015,N/A,32,47
11/01/2015,N/A,35,46
12/01/2015,N/A,25,39
13/01/2015,N/A,28,42
14/01/2015,N/A,48,64
15/01/2015,N/A,44,67
16/01/2015,N/A,57,75
17/01/2015,N/A,41,57
18/01/2015,N/A,54,72
19/01/2015,N/A,44,53
20/01/2015,N/A,50,67
21/01/2015,N/A,66,82
22/01/2015,N/A,77,93
23/01/2015,N/A,81,101
24/01/2015,N/A,51,70
25/01/2015,N/A,53,64
26/01/2015,N/A,45,54
27/01/2015,N/A,N/A,78
28/01/2015,N/A,59,73
29/01/2015,N/A,57,69
30/01/2015,N/A,43,54
31/01/2015,N/A,44,58
01/02/2015,N/A,54,57
02/02/2015,N/A,50,66
03/02/2015,N/A,44,62
04/02/2015,N/A,55,70
05/02/2015,N/A,41,58
06/02/2015,N/A,50,65
07/02/2015,N/A,58,73
08/02/2015,N/A,73,85
09/02/2015,N/A,52,65
10/02/2015,N/A,56,73
11/02/2015,N/A,77,97
12/02/2015,N/A,42,55
13/02/2015,N/A,33,44
14/02/2015,N/A,27,42
15/02/2015,N/A,30,43
16/02/2015,N/A,31,45
17/02/2015,N/A,31,48
18/02/2015,N/A,24,37
19/02/2015,N/A,20,N/A
20/02/2015,N/A,21,N/A
21/02/2015,N/A,13,N/A
22/02/2015,N/A,11,N/A
23/02/2015,N/A,12,N/A
24/02/2015,N/A,18,N/A
25/02/2015,N/A,16,N/A
26/02/2015,N/A,16,N/A
27/02/2015,N/A,16,35
28/02/2015,N/A,19,30
01/03/2015,N/A,19,21
02/03/2015,N/A,18,28
03/03/2015,N/A,13,26
04/03/2015,N/A,15,31
05/03/2015,N/A,25,39
06/03/2015,N/A,18,30
07/03/2015,N/A,15,27
08/03/2015,N/A,9,23
09/03/2015,N/A,12,20
10/03/2015,N/A,17,30
11/03/2015,N/A,16,N/A
12/03/2015,N/A,22,N/A
13/03/2015,N/A,26,N/A
14/03/2015,N/A,21,N/A
15/03/2015,N/A,17,N/A
16/03/2015,N/A,19,N/A
17/03/2015,N/A,23,N/A
18/03/2015,N/A,24,N/A
19/03/2015,N/A,20,N/A
20/03/2015,N/A,26,44
21/03/2015,N/A,21,39
22/03/2015,N/A,21,42
23/03/2015,N/A,23,40
24/03/2015,N/A,32,43
25/03/2015,N/A,41,58
26/03/2015,N/A,36,53
27/03/2015,N/A,35,56
28/03/2015,N/A,41,59
29/03/2015,N/A,23,43
30/03/2015,N/A,14,30
31/03/2015,N/A,13,29
01/04/2015,N/A,19,32
02/04/2015,N/A,21,37
03/04/2015,N/A,27,42
04/04/2015,N/A,25,44
05/04/2015,N/A,22,33
06/04/2015,N/A,18,29
07/04/2015,N/A,20,30
08/04/2015,N/A,17,28
09/04/2015,N/A,22,43
10/04/2015,17,13,23
11/04/2015,21,13,28
12/04/2015,24,19,34
13/04/2015,36,30,39
14/04/2015,48,39,53
15/04/2015,57,48,70
16/04/2015,41,37,51
17/04/2015,27,19,35
18/04/2015,17,11,24
19/04/2015,15,N/A,23
20/04/2015,23,N/A,28
21/04/2015,28,20,36
22/04/2015,25,19,39
23/04/2015,24,16,35
24/04/2015,34,26,45
25/04/2015,29,22,47
26/04/2015,35,27,51
27/04/2015,26,18,42
28/04/2015,18,15,30
29/04/2015,16,7,27
30/04/2015,20,14,33
01/05/2015,15,7,26
02/05/2015,13,15,22
03/05/2015,16,16,24
04/05/2015,18,15,31
05/05/2015,17,15,23
06/05/2015,17,13,29
07/05/2015,16,6,22
08/05/2015,18,N/A,25
09/05/2015,15,7,31
10/05/2015,19,9,26
11/05/2015,13,6,25
12/05/2015,14,N/A,26
13/05/2015,12,8,23
14/05/2015,10,6,24
15/05/2015,13,N/A,25
16/05/2015,11,N/A,23
17/05/2015,10,N/A,16
18/05/2015,7,N/A,21
19/05/2015,10,N/A,19
20/05/2015,8,14,18
21/05/2015,8,13,19
22/05/2015,5,14,15
23/05/2015,7,15,23
24/05/2015,11,16,19
25/05/2015,11,19,23
26/05/2015,14,22,18
27/05/2015,15,24,26
28/05/2015,12,21,20
29/05/2015,11,17,23
30/05/2015,13,19,28
31/05/2015,11,17,22
01/06/2015,9,15,24
02/06/2015,10,20,22
03/06/2015,16,24,35
04/06/2015,9,16,25
05/06/2015,14,19,29
06/06/2015,13,19,28
07/06/2015,12,18,22
08/06/2015,12,20,N/A
09/06/2015,12,22,24
10/06/2015,11,22,26
11/06/2015,10,21,18
12/06/2015,12,22,25
13/06/2015,11,22,29
14/06/2015,11,21,24
15/06/2015,12,19,29
16/06/2015,10,18,20
17/06/2015,9,19,24
18/06/2015,10,21,22
19/06/2015,17,23,25
20/06/2015,12,21,22
21/06/2015,10,19,19
22/06/2015,13,23,16
23/06/2015,18,25,17
24/06/2015,15,22,22
25/06/2015,12,19,20
26/06/2015,10,21,21
27/06/2015,8,18,21
28/06/2015,8,19,26
29/06/2015,13,20,21
30/06/2015,13,20,21
01/07/2015,13,20,27
02/07/2015,15,24,22
03/07/2015,14,22,22
04/07/2015,21,25,23
05/07/2015,13,19,16
06/07/2015,16,24,28
07/07/2015,26,30,30
08/07/2015,27,34,33
09/07/2015,30,34,36
10/07/2015,26,33,35
11/07/2015,23,29,30
12/07/2015,11,18,23
13/07/2015,15,22,25
14/07/2015,20,25,N/A
15/07/2015,16,N/A,N/A
16/07/2015,N/A,N/A,N/A
17/07/2015,9,19,N/A
18/07/2015,8,18,13
19/07/2015,9,16,16
20/07/2015,11,17,21
21/07/2015,7,16,20
22/07/2015,9,20,20
23/07/2015,8,17,19
24/07/2015,12,22,23
25/07/2015,15,23,23
26/07/2015,14,23,29
27/07/2015,17,24,24
28/07/2015,10,23,32
29/07/2015,13,20,29
30/07/2015,15,20,31
31/07/2015,11,20,25
01/08/2015,12,20,20
02/08/2015,10,17,18
03/08/2015,13,19,27
04/08/2015,10,19,27
05/08/2015,10,16,23
06/08/2015,9,14,20
07/08/2015,14,19,23
08/08/2015,11,17,21
09/08/2015,12,17,21
10/08/2015,13,19,28
11/08/2015,11,17,23
12/08/2015,14,20,25
13/08/2015,15,24,27
14/08/2015,11,19,28
15/08/2015,11,17,21
16/08/2015,12,21,24
17/08/2015,12,16,20
18/08/2015,10,16,23
19/08/2015,7,15,23
20/08/2015,9,15,24
21/08/2015,9,13,17
22/08/2015,8,14,21
23/08/2015,9,19,18
24/08/2015,9,16,22
25/08/2015,10,N/A,15
26/08/2015,11,N/A,22
27/08/2015,10,N/A,22
28/08/2015,14,20,30
29/08/2015,12,18,21
30/08/2015,8,21,22
31/08/2015,9,19,25
01/09/2015,10,15,22
02/09/2015,9,15,19
03/09/2015,14,18,25
04/09/2015,14,22,29
05/09/2015,13,18,24
06/09/2015,8,15,20
07/09/2015,8,12,18
08/09/2015,7,11,16
09/09/2015,8,14,25
10/09/2015,13,23,31
11/09/2015,17,24,24
