Date,05T,59T,61T,52T,54T,,,,,,,,,,,,,,
01/01/2016,N/A,17,28,N/A,N/A,,,,,,,,,,,,,,
02/01/2016,N/A,22,N/A,N/A,33,,,,,,,,,,,,,,
03/01/2016,N/A,28,N/A,N/A,50,,,,,,,,,,,,,,
04/01/2016,N/A,42,N/A,N/A,69,,,,,,,,,,,,,,
05/01/2016,N/A,35,57,N/A,58,,,,,,,,,,,,,,
06/01/2016,N/A,31,61,N/A,56,,,,,,,,,,,,,,
07/01/2016,N/A,32,62,N/A,58,,,,,,,,,,,,,,
08/01/2016,N/A,31,58,N/A,53,,,,,,,,,,,,,,
09/01/2016,N/A,16,34,N/A,46,,,,,,,,,,,,,,
10/01/2016,N/A,18,23,N/A,N/A,,,,,,,,,,,,,,
11/01/2016,N/A,22,35,N/A,N/A,,,,,,,,,,,,,,
12/01/2016,N/A,24,41,N/A,N/A,,,,,,,,,,,,,,
13/01/2016,N/A,20,35,N/A,N/A,,,,,,,,,,,,,,
14/01/2016,N/A,25,31,N/A,N/A,,,,,,,,,,,,,,
15/01/2016,N/A,8,18,N/A,N/A,,,,,,,,,,,,,,
16/01/2016,N/A,11,18,N/A,31,,,,,,,,,,,,,,
17/01/2016,N/A,8,16,N/A,34,,,,,,,,,,,,,,
18/01/2016,N/A,14,21,N/A,35,,,,,,,,,,,,,,
19/01/2016,N/A,11,18,N/A,34,,,,,,,,,,,,,,
20/01/2016,N/A,13,20,N/A,36,,,,,,,,,,,,,,
21/01/2016,N/A,14,30,N/A,37,,,,,,,,,,,,,,
22/01/2016,N/A,18,29,N/A,43,,,,,,,,,,,,,,
23/01/2016,N/A,19,32,N/A,50,,,,,,,,,,,,,,
24/01/2016,N/A,23,28,N/A,32,,,,,,,,,,,,,,
25/01/2016,N/A,20,30,N/A,38,,,,,,,,,,,,,,
26/01/2016,N/A,31,44,N/A,52,,,,,,,,,,,,,,
27/01/2016,N/A,27,44,N/A,56,,,,,,,,,,,,,,
28/01/2016,N/A,34,59,N/A,57,,,,,,,,,,,,,,
29/01/2016,N/A,39,70,N/A,N/A,,,,,,,,,,,,,,
30/01/2016,N/A,23,56,N/A,53,,,,,,,,,,,,,,
31/01/2016,N/A,13,22,N/A,34,,,,,,,,,,,,,,
01/02/2016,N/A,17,28,N/A,40,,,,,,,,,,,,,,
02/02/2016,N/A,22,35,N/A,37,,,,,,,,,,,,,,
03/02/2016,N/A,24,42,N/A,40,,,,,,,,,,,,,,
04/02/2016,N/A,36,56,N/A,54,,,,,,,,,,,,,,
05/02/2016,N/A,34,57,N/A,63,,,,,,,,,,,,,,
06/02/2016,N/A,27,39,N/A,47,,,,,,,,,,,,,,
07/02/2016,N/A,37,52,N/A,49,,,,,,,,,,,,,,
08/02/2016,N/A,50,70,N/A,62,,,,,,,,,,,,,,
09/02/2016,N/A,N/A,85,N/A,83,,,,,,,,,,,,,,
10/02/2016,N/A,63,95,N/A,103,,,,,,,,,,,,,,
11/02/2016,N/A,37,70,N/A,76,,,,,,,,,,,,,,
12/02/2016,N/A,31,55,N/A,56,,,,,,,,,,,,,,
13/02/2016,N/A,17,35,N/A,35,,,,,,,,,,,,,,
14/02/2016,N/A,17,33,N/A,40,,,,,,,,,,,,,,
15/02/2016,N/A,30,32,N/A,28,,,,,,,,,,,,,,
16/02/2016,N/A,25,27,N/A,44,,,,,,,,,,,,,,
17/02/2016,N/A,35,47,N/A,53,,,,,,,,,,,,,,
18/02/2016,N/A,40,53,N/A,66,,,,,,,,,,,,,,
19/02/2016,N/A,39,45,N/A,56,,,,,,,,,,,,,,
20/02/2016,N/A,39,41,N/A,57,,,,,,,,,,,,,,
21/02/2016,N/A,34,37,N/A,56,,,,,,,,,,,,,,
22/02/2016,N/A,31,34,N/A,41,,,,,,,,,,,,,,
23/02/2016,N/A,34,37,N/A,40,,,,,,,,,,,,,,
24/02/2016,N/A,41,42,N/A,48,,,,,,,,,,,,,,
25/02/2016,N/A,31,39,N/A,39,,,,,,,,,,,,,,
26/02/2016,N/A,24,39,N/A,50,,,,,,,,,,,,,,
27/02/2016,N/A,N/A,44,N/A,52,,,,,,,,,,,,,,
28/02/2016,N/A,41,60,N/A,56,,,,,,,,,,,,,,
29/02/2016,N/A,39,58,N/A,66,,,,,,,,,,,,,,
01/03/2016,N/A,37,56,N/A,82,,,,,,,,,,,,,,
02/03/2016,N/A,50,79,N/A,80,,,,,,,,,,,,,,
03/03/2016,N/A,54,78,N/A,88,,,,,,,,,,,,,,
04/03/2016,N/A,44,49,N/A,50,,,,,,,,,,,,,,
05/03/2016,N/A,29,28,N/A,38,,,,,,,,,,,,,,
06/03/2016,N/A,28,26,N/A,33,,,,,,,,,,,,,,
07/03/2016,N/A,34,30,N/A,31,,,,,,,,,,,,,,
08/03/2016,N/A,31,31,N/A,33,,,,,,,,,,,,,,
09/03/2016,N/A,34,N/A,N/A,29,,,,,,,,,,,,,,
10/03/2016,N/A,35,33,N/A,39,,,,,,,,,,,,,,
11/03/2016,N/A,28,30,N/A,33,,,,,,,,,,,,,,
12/03/2016,N/A,26,27,N/A,35,,,,,,,,,,,,,,
13/03/2016,N/A,19,18,N/A,32,,,,,,,,,,,,,,
14/03/2016,N/A,23,23,N/A,27,,,,,,,,,,,,,,
15/03/2016,N/A,27,24,N/A,32,,,,,,,,,,,,,,
16/03/2016,N/A,30,32,N/A,N/A,,,,,,,,,,,,,,
17/03/2016,N/A,33,29,N/A,N/A,,,,,,,,,,,,,,
18/03/2016,N/A,38,33,N/A,47,,,,,,,,,,,,,,
19/03/2016,N/A,33,35,N/A,49,,,,,,,,,,,,,,
20/03/2016,N/A,34,34,N/A,46,,,,,,,,,,,,,,
21/03/2016,N/A,26,31,N/A,N/A,,,,,,,,,,,,,,
22/03/2016,N/A,40,36,N/A,N/A,,,,,,,,,,,,,,
23/03/2016,N/A,50,52,N/A,N/A,,,,,,,,,,,,,,
24/03/2016,N/A,64,57,N/A,N/A,,,,,,,,,,,,,,
25/03/2016,N/A,34,39,N/A,48,,,,,,,,,,,,,,
26/03/2016,N/A,34,44,N/A,51,,,,,,,,,,,,,,
27/03/2016,N/A,34,38,N/A,47,,,,,,,,,,,,,,
28/03/2016,N/A,51,58,N/A,69,,,,,,,,,,,,,,
29/03/2016,N/A,41,52,N/A,75,,,,,,,,,,,,,,
30/03/2016,N/A,41,43,N/A,61,,,,,,,,,,,,,,
31/03/2016,N/A,44,48,N/A,61,,,,,,,,,,,,,,
01/04/2016,N/A,40,41,N/A,59,,,,,,,,,,,,,,
02/04/2016,N/A,28,31,N/A,53,,,,,,,,,,,,,,
03/04/2016,N/A,N/A,27,N/A,46,,,,,,,,,,,,,,
04/04/2016,N/A,24,28,N/A,N/A,,,,,,,,,,,,,,
05/04/2016,N/A,N/A,25,N/A,N/A,,,,,,,,,,,,,,
06/04/2016,N/A,25,30,N/A,N/A,,,,,,,,,,,,,,
07/04/2016,N/A,N/A,29,N/A,38,,,,,,,,,,,,,,
08/04/2016,N/A,26,28,N/A,33,,,,,,,,,,,,,,
09/04/2016,N/A,45,24,N/A,27,,,,,,,,,,,,,,
10/04/2016,N/A,30,28,N/A,40,,,,,,,,,,,,,,
11/04/2016,N/A,N/A,39,N/A,53,,,,,,,,,,,,,,
12/04/2016,N/A,36,44,N/A,62,,,,,,,,,,,,,,
13/04/2016,N/A,40,47,N/A,54,,,,,,,,,,,,,,
14/04/2016,N/A,37,46,N/A,43,,,,,,,,,,,,,,
15/04/2016,N/A,N/A,40,N/A,50,,,,,,,,,,,,,,
16/04/2016,N/A,N/A,38,N/A,40,,,,,,,,,,,,,,
17/04/2016,N/A,N/A,35,N/A,49,,,,,,,,,,,,,,
18/04/2016,N/A,N/A,34,N/A,40,,,,,,,,,,,,,,
19/04/2016,N/A,35,26,N/A,N/A,,,,,,,,,,,,,,
20/04/2016,N/A,17,23,N/A,29,,,,,,,,,,,,,,
21/04/2016,N/A,32,23,N/A,37,,,,,,,,,,,,,,
22/04/2016,N/A,29,33,N/A,50,,,,,,,,,,,,,,
23/04/2016,N/A,34,33,N/A,41,,,,,,,,,,,,,,
24/04/2016,N/A,27,30,N/A,N/A,,,,,,,,,,,,,,
25/04/2016,N/A,N/A,30,N/A,36,,,,,,,,,,,,,,
26/04/2016,N/A,27,31,N/A,39,,,,,,,,,,,,,,
27/04/2016,N/A,N/A,39,N/A,45,,,,,,,,,,,,,,
28/04/2016,N/A,36,37,N/A,N/A,,,,,,,,,,,,,,
29/04/2016,N/A,N/A,35,N/A,N/A,,,,,,,,,,,,,,
30/04/2016,N/A,22,24,N/A,N/A,,,,,,,,,,,,,,
01/05/2016,N/A,20,28,N/A,N/A,,,,,,,,,,,,,,
02/05/2016,N/A,14,19,N/A,30,,,,,,,,,,,,,,
03/05/2016,N/A,16,21,N/A,34,,,,,,,,,,,,,,
04/05/2016,N/A,13,18,N/A,29,,,,,,,,,,,,,,
05/05/2016,N/A,14,19,N/A,31,,,,,,,,,,,,,,
06/05/2016,N/A,16,15,N/A,29,,,,,,,,,,,,,,
07/05/2016,N/A,16,10,N/A,29,,,,,,,,,,,,,,
08/05/2016,N/A,12,8,N/A,28,,,,,,,,,,,,,,
09/05/2016,N/A,14,9,N/A,28,,,,,,,,,,,,,,
10/05/2016,N/A,11,8,N/A,27,,,,,,,,,,,,,,
11/05/2016,N/A,19,14,N/A,32,,,,,,,,,,,,,,
12/05/2016,N/A,24,21,N/A,34,,,,,,,,,,,,,,
13/05/2016,N/A,20,19,N/A,40,,,,,,,,,,,,,,
14/05/2016,N/A,20,23,N/A,49,,,,,,,,,,,,,,
15/05/2016,N/A,15,17,N/A,34,,,,,,,,,,,,,,
16/05/2016,N/A,32,30,N/A,36,,,,,,,,,,,,,,
17/05/2016,N/A,32,31,N/A,40,,,,,,,,,,,,,,
18/05/2016,N/A,25,17,N/A,29,,,,,,,,,,,,,,
19/05/2016,N/A,18,15,N/A,29,,,,,,,,,,,,,,
20/05/2016,N/A,18,12,N/A,25,,,,,,,,,,,,,,
21/05/2016,N/A,10,7,N/A,22,,,,,,,,,,,,,,
22/05/2016,N/A,12,8,N/A,23,,,,,,,,,,,,,,
23/05/2016,N/A,13,14,N/A,20,,,,,,,,,,,,,,
24/05/2016,N/A,17,14,N/A,30,,,,,,,,,,,,,,
25/05/2016,N/A,16,14,N/A,21,,,,,,,,,,,,,,
26/05/2016,N/A,15,12,N/A,32,,,,,,,,,,,,,,
27/05/2016,N/A,16,15,N/A,31,,,,,,,,,,,,,,
28/05/2016,N/A,16,13,N/A,33,,,,,,,,,,,,,,
29/05/2016,N/A,18,15,N/A,31,,,,,,,,,,,,,,
30/05/2016,N/A,22,20,N/A,25,,,,,,,,,,,,,,
31/05/2016,N/A,20,13,N/A,28,,,,,,,,,,,,,,
01/06/2016,N/A,20,9,N/A,N/A,,,,,,,,,,,,,,
02/06/2016,N/A,20,7,N/A,N/A,,,,,,,,,,,,,,
03/06/2016,N/A,16,6,N/A,N/A,,,,,,,,,,,,,,
04/06/2016,N/A,17,10,N/A,N/A,,,,,,,,,,,,,,
05/06/2016,N/A,21,11,N/A,N/A,,,,,,,,,,,,,,
06/06/2016,N/A,17,14,N/A,N/A,,,,,,,,,,,,,,
07/06/2016,N/A,18,11,N/A,N/A,,,,,,,,,,,,,,
08/06/2016,N/A,17,11,N/A,N/A,,,,,,,,,,,,,,
09/06/2016,N/A,14,10,N/A,N/A,,,,,,,,,,,,,,
10/06/2016,N/A,N/A,10,N/A,N/A,,,,,,,,,,,,,,
11/06/2016,N/A,24,13,N/A,N/A,,,,,,,,,,,,,,
12/06/2016,N/A,12,9,N/A,N/A,,,,,,,,,,,,,,
13/06/2016,N/A,13,9,N/A,N/A,,,,,,,,,,,,,,
14/06/2016,N/A,12,7,N/A,N/A,,,,,,,,,,,,,,
15/06/2016,N/A,15,7,N/A,N/A,,,,,,,,,,,,,,
16/06/2016,N/A,15,9,N/A,N/A,,,,,,,,,,,,,,
17/06/2016,N/A,17,10,N/A,N/A,,,,,,,,,,,,,,
18/06/2016,N/A,19,13,N/A,N/A,,,,,,,,,,,,,,
19/06/2016,N/A,22,17,N/A,N/A,,,,,,,,,,,,,,
20/06/2016,N/A,27,19,N/A,N/A,,,,,,,,,,,,,,
21/06/2016,N/A,20,16,N/A,N/A,,,,,,,,,,,,,,
22/06/2016,N/A,15,13,N/A,N/A,,,,,,,,,,,,,,
23/06/2016,14,19,14,15,N/A,,,,,,,,,,,,,,
24/06/2016,9,13,10,10,N/A,,,,,,,,,,,,,,
25/06/2016,11,13,10,9,N/A,,,,,,,,,,,,,,
26/06/2016,12,15,11,13,N/A,,,,,,,,,,,,,,
27/06/2016,17,16,14,16,N/A,,,,,,,,,,,,,,
28/06/2016,16,14,13,17,N/A,,,,,,,,,,,,,,
29/06/2016,16,15,10,14,N/A,,,,,,,,,,,,,,
30/06/2016,15,16,13,18,N/A,,,,,,,,,,,,,,
01/07/2016,15,17,12,17,N/A,,,,,,,,,,,,,,
02/07/2016,19,18,15,19,N/A,,,,,,,,,,,,,,
03/07/2016,20,23,17,23,N/A,,,,,,,,,,,,,,
04/07/2016,24,30,20,26,N/A,,,,,,,,,,,,,,
05/07/2016,25,34,25,28,N/A,,,,,,,,,,,,,,
06/07/2016,N/A,20,18,25,N/A,,,,,,,,,,,,,,
07/07/2016,N/A,14,12,17,N/A,,,,,,,,,,,,,,
08/07/2016,13,12,10,14,N/A,,,,,,,,,,,,,,
09/07/2016,16,12,11,14,N/A,,,,,,,,,,,,,,
10/07/2016,13,12,N/A,11,N/A,,,,,,,,,,,,,,
11/07/2016,18,13,N/A,18,N/A,,,,,,,,,,,,,,
12/07/2016,25,26,N/A,26,N/A,,,,,,,,,,,,,,
13/07/2016,23,24,24,23,N/A,,,,,,,,,,,,,,
14/07/2016,19,24,22,20,N/A,,,,,,,,,,,,,,
15/07/2016,21,20,24,22,N/A,,,,,,,,,,,,,,
16/07/2016,25,20,22,21,N/A,,,,,,,,,,,,,,
17/07/2016,16,13,18,16,N/A,,,,,,,,,,,,,,
18/07/2016,16,13,16,14,N/A,,,,,,,,,,,,,,
19/07/2016,11,11,14,11,N/A,,,,,,,,,,,,,,
20/07/2016,11,14,15,13,N/A,,,,,,,,,,,,,,
21/07/2016,12,13,14,14,N/A,,,,,,,,,,,,,,
22/07/2016,12,14,16,17,N/A,,,,,,,,,,,,,,
23/07/2016,13,11,16,15,N/A,,,,,,,,,,,,,,
24/07/2016,15,18,21,21,N/A,,,,,,,,,,,,,,
25/07/2016,24,N/A,29,26,N/A,,,,,,,,,,,,,,
26/07/2016,17,13,16,17,N/A,,,,,,,,,,,,,,
27/07/2016,15,11,16,16,N/A,,,,,,,,,,,,,,
28/07/2016,19,14,16,18,27,,,,,,,,,,,,,,
29/07/2016,20,13,16,22,28,,,,,,,,,,,,,,
30/07/2016,16,11,17,16,21,,,,,,,,,,,,,,
31/07/2016,20,15,19,20,25,,,,,,,,,,,,,,
01/08/2016,16,9,15,16,26,,,,,,,,,,,,,,
02/08/2016,22,16,18,21,N/A,,,,,,,,,,,,,,
03/08/2016,19,18,19,20,N/A,,,,,,,,,,,,,,
04/08/2016,22,N/A,18,21,N/A,,,,,,,,,,,,,,
05/08/2016,26,18,25,31,N/A,,,,,,,,,,,,,,
06/08/2016,18,19,20,24,N/A,,,,,,,,,,,,,,
07/08/2016,16,16,16,18,N/A,,,,,,,,,,,,,,
08/08/2016,14,9,15,16,N/A,,,,,,,,,,,,,,
09/08/2016,20,17,22,22,N/A,,,,,,,,,,,,,,
10/08/2016,25,20,25,27,N/A,,,,,,,,,,,,,,
11/08/2016,26,16,23,24,N/A,,,,,,,,,,,,,,
12/08/2016,21,11,17,20,N/A,,,,,,,,,,,,,,
13/08/2016,22,14,19,20,N/A,,,,,,,,,,,,,,
14/08/2016,20,16,18,24,N/A,,,,,,,,,,,,,,
15/08/2016,23,14,18,22,N/A,,,,,,,,,,,,,,
16/08/2016,19,15,19,20,N/A,,,,,,,,,,,,,,
17/08/2016,22,20,23,21,N/A,,,,,,,,,,,,,,
18/08/2016,28,21,25,32,N/A,,,,,,,,,,,,,,
19/08/2016,26,21,23,28,N/A,,,,,,,,,,,,,,
20/08/2016,21,20,21,21,N/A,,,,,,,,,,,,,,
21/08/2016,29,22,25,25,N/A,,,,,,,,,,,,,,
22/08/2016,23,17,19,25,N/A,,,,,,,,,,,,,,
