Date,05T,59T,61T,50T,52T,53T,54T
01/01/2017,33,21,28,N/A,34,N/A,N/A
02/01/2017,28,19,27,N/A,32,N/A,N/A
03/01/2017,31,19,32,N/A,34,N/A,N/A
04/01/2017,37,21,34,N/A,37,N/A,N/A
05/01/2017,45,29,40,N/A,45,N/A,N/A
06/01/2017,43,27,38,N/A,44,N/A,N/A
07/01/2017,46,30,42,N/A,52,N/A,N/A
08/01/2017,43,35,43,N/A,49,N/A,N/A
09/01/2017,35,27,33,N/A,39,N/A,N/A
10/01/2017,36,38,41,N/A,51,N/A,N/A
11/01/2017,25,17,24,N/A,29,N/A,N/A
12/01/2017,19,17,22,N/A,19,N/A,N/A
13/01/2017,29,20,30,N/A,27,N/A,N/A
14/01/2017,46,31,39,N/A,44,N/A,N/A
15/01/2017,62,40,51,N/A,54,N/A,N/A
16/01/2017,43,28,38,N/A,42,N/A,N/A
17/01/2017,36,23,35,N/A,36,N/A,N/A
18/01/2017,46,32,40,N/A,42,N/A,N/A
19/01/2017,42,41,38,N/A,47,N/A,N/A
20/01/2017,40,29,36,N/A,36,N/A,N/A
21/01/2017,37,27,34,N/A,35,N/A,N/A
22/01/2017,31,23,28,N/A,31,N/A,N/A
23/01/2017,38,25,32,N/A,35,N/A,N/A
24/01/2017,43,34,40,N/A,46,N/A,N/A
25/01/2017,55,45,48,N/A,57,N/A,N/A
26/01/2017,35,32,32,N/A,44,N/A,N/A
27/01/2017,38,27,35,N/A,43,N/A,N/A
28/01/2017,45,29,39,N/A,45,N/A,N/A
29/01/2017,58,47,53,N/A,62,N/A,N/A
30/01/2017,55,45,51,N/A,58,N/A,N/A
31/01/2017,52,46,50,N/A,58,N/A,N/A
01/02/2017,58,40,47,N/A,54,N/A,N/A
02/02/2017,49,48,50,N/A,59,N/A,N/A
03/02/2017,23,16,24,N/A,21,N/A,N/A
04/02/2017,43,28,38,N/A,35,N/A,N/A
05/02/2017,56,45,49,N/A,57,N/A,N/A
06/02/2017,70,52,62,N/A,68,N/A,N/A
07/02/2017,51,42,45,N/A,52,N/A,N/A
08/02/2017,37,31,35,N/A,38,N/A,N/A
09/02/2017,47,41,48,N/A,47,N/A,N/A
10/02/2017,50,43,53,N/A,52,N/A,N/A
11/02/2017,54,42,51,N/A,52,N/A,N/A
12/02/2017,45,38,51,N/A,51,N/A,N/A
13/02/2017,61,48,54,N/A,62,N/A,N/A
14/02/2017,71,59,67,N/A,75,N/A,N/A
15/02/2017,64,53,59,N/A,70,N/A,N/A
16/02/2017,58,51,57,N/A,66,N/A,N/A
17/02/2017,59,47,N/A,N/A,60,N/A,N/A
18/02/2017,64,51,N/A,N/A,73,N/A,N/A
19/02/2017,76,70,N/A,N/A,86,N/A,N/A
20/02/2017,48,54,N/A,N/A,52,N/A,N/A
21/02/2017,33,37,N/A,N/A,37,N/A,N/A
22/02/2017,25,22,N/A,N/A,25,N/A,N/A
23/02/2017,17,16,N/A,N/A,18,N/A,N/A
