Date,05T,10T,11T,59T,61T,03T,50T,52T,53T,54T
01/01/2018,17,n/a,n/a,21,30,n/a,27,31,15,n/a
02/01/2018,25,n/a,n/a,26,33,n/a,30,37,17,n/a
03/01/2018,34,n/a,n/a,38,42,n/a,40,50,22,n/a
04/01/2018,41,n/a,n/a,39,45,n/a,45,53,24,n/a
05/01/2018,42,n/a,n/a,51,53,n/a,51,58,27,n/a
06/01/2018,46,n/a,n/a,42,n/a,n/a,48,52,25,n/a
07/01/2018,8,n/a,n/a,26,n/a,n/a,19,20,10,n/a
08/01/2018,8,n/a,n/a,10,n/a,n/a,16,16,10,n/a
09/01/2018,8,n/a,n/a,22,14,n/a,22,21,14,n/a
10/01/2018,10,n/a,n/a,10,9,n/a,17,21,8,n/a
11/01/2018,22,n/a,n/a,25,29,n/a,35,44,18,n/a
12/01/2018,26,n/a,n/a,34,33,n/a,37,50,16,n/a
13/01/2018,34,n/a,n/a,36,46,n/a,44,58,19,n/a
14/01/2018,41,n/a,n/a,38,48,n/a,45,62,20,n/a
15/01/2018,43,n/a,n/a,52,54,n/a,55,72,25,n/a
16/01/2018,58,n/a,n/a,55,64,n/a,67,77,31,n/a
17/01/2018,99,n/a,n/a,69,81,n/a,87,99,40,n/a
18/01/2018,50,n/a,n/a,54,61,n/a,59,73,30,n/a
19/01/2018,53,n/a,n/a,57,58,n/a,59,76,31,n/a
20/01/2018,42,n/a,n/a,45,55,n/a,51,65,26,n/a
21/01/2018,63,n/a,n/a,62,69,n/a,72,87,33,n/a
22/01/2018,66,n/a,n/a,97,75,n/a,77,105,38,n/a
23/01/2018,49,n/a,n/a,66,55,n/a,61,78,30,n/a
24/01/2018,44,n/a,n/a,n/a,58,n/a,61,72,47,n/a
25/01/2018,19,n/a,n/a,n/a,27,n/a,34,35,35,n/a
26/01/2018,9,n/a,n/a,17,16,n/a,22,24,22,n/a
27/01/2018,8,n/a,n/a,17,12,n/a,19,21,20,n/a
28/01/2018,7,n/a,n/a,13,13,n/a,19,23,18,n/a
29/01/2018,7,n/a,n/a,19,14,n/a,20,24,19,n/a
30/01/2018,8,n/a,n/a,16,16,n/a,21,24,19,n/a
31/01/2018,10,n/a,n/a,n/a,19,n/a,21,24,22,n/a
01/02/2018,23,n/a,n/a,n/a,33,n/a,35,43,30,n/a
02/02/2018,41,n/a,n/a,n/a,54,n/a,51,60,47,n/a
03/02/2018,n/a,n/a,n/a,n/a,53,n/a,52,64,51,n/a
04/02/2018,n/a,n/a,n/a,n/a,65,n/a,59,74,59,n/a
05/02/2018,n/a,n/a,n/a,n/a,67,n/a,62,79,59,n/a
06/02/2018,n/a,n/a,n/a,n/a,58,n/a,51,61,51,n/a
07/02/2018,n/a,n/a,n/a,n/a,90,n/a,86,95,79,n/a
08/02/2018,62,n/a,n/a,n/a,90,n/a,76,80,81,n/a
09/02/2018,n/a,n/a,n/a,n/a,50,n/a,48,55,50,n/a
10/02/2018,n/a,n/a,n/a,n/a,48,n/a,43,50,47,n/a
11/02/2018,n/a,n/a,n/a,n/a,48,n/a,44,53,48,n/a
12/02/2018,n/a,n/a,n/a,n/a,56,n/a,55,64,52,n/a
13/02/2018,56,n/a,n/a,n/a,52,n/a,46,60,48,n/a
14/02/2018,73,n/a,n/a,n/a,74,n/a,72,94,70,n/a
15/02/2018,57,n/a,n/a,n/a,59,n/a,60,68,60,n/a
16/02/2018,47,n/a,n/a,n/a,45,n/a,48,54,49,n/a
17/02/2018,44,n/a,n/a,n/a,43,n/a,47,51,45,n/a
18/02/2018,39,n/a,n/a,n/a,37,n/a,41,47,39,n/a
19/02/2018,32,n/a,n/a,n/a,32,n/a,35,43,36,n/a
20/02/2018,12,n/a,n/a,n/a,11,n/a,17,20,15,n/a
21/02/2018,17,n/a,n/a,n/a,18,n/a,21,26,20,n/a
22/02/2018,23,n/a,n/a,n/a,22,n/a,27,33,26,n/a
23/02/2018,31,n/a,n/a,n/a,29,n/a,33,38,29,n/a
24/02/2018,40,n/a,n/a,n/a,40,n/a,41,48,41,n/a
25/02/2018,35,n/a,n/a,n/a,37,n/a,36,48,41,n/a
26/02/2018,40,n/a,n/a,n/a,38,n/a,44,55,40,n/a
27/02/2018,31,n/a,n/a,n/a,29,n/a,33,32,35,n/a
28/02/2018,38,n/a,n/a,n/a,39,n/a,42,38,40,n/a
01/03/2018,24,n/a,n/a,n/a,26,n/a,28,27,29,n/a
02/03/2018,24,n/a,n/a,n/a,21,n/a,27,27,25,n/a
03/03/2018,15,n/a,n/a,n/a,13,n/a,19,19,17,n/a
04/03/2018,12,n/a,n/a,n/a,11,n/a,19,18,16,n/a
05/03/2018,11,n/a,n/a,n/a,10,n/a,18,14,17,n/a
06/03/2018,14,n/a,n/a,n/a,12,n/a,20,17,17,n/a
07/03/2018,17,n/a,n/a,n/a,15,n/a,22,19,22,n/a
08/03/2018,23,n/a,n/a,n/a,23,n/a,30,29,27,n/a
09/03/2018,29,n/a,n/a,n/a,27,n/a,31,32,28,n/a
10/03/2018,43,n/a,n/a,n/a,41,n/a,43,47,43,n/a
11/03/2018,62,n/a,n/a,n/a,61,n/a,61,65,58,n/a
12/03/2018,76,n/a,n/a,n/a,76,n/a,80,87,75,n/a
13/03/2018,40,n/a,n/a,n/a,40,n/a,43,45,42,n/a
14/03/2018,28,n/a,n/a,n/a,n/a,n/a,30,33,29,n/a
15/03/2018,26,n/a,n/a,n/a,30,n/a,27,26,24,n/a
16/03/2018,25,n/a,n/a,n/a,31,n/a,26,n/a,25,n/a
17/03/2018,19,n/a,n/a,n/a,22,n/a,20,20,18,n/a
18/03/2018,14,n/a,n/a,n/a,18,n/a,16,16,13,n/a
19/03/2018,15,n/a,n/a,n/a,19,n/a,16,16,15,n/a
20/03/2018,22,n/a,n/a,n/a,25,n/a,25,25,21,n/a
21/03/2018,27,n/a,n/a,n/a,29,n/a,26,25,25,n/a
22/03/2018,38,n/a,n/a,n/a,38,n/a,34,38,32,n/a
23/03/2018,46,n/a,n/a,n/a,52,n/a,45,48,42,n/a
24/03/2018,54,n/a,n/a,n/a,60,n/a,50,50,51,n/a
25/03/2018,41,n/a,n/a,n/a,47,n/a,37,37,38,n/a
26/03/2018,33,n/a,n/a,n/a,36,n/a,31,29,30,n/a
27/03/2018,45,n/a,n/a,n/a,41,n/a,43,42,41,n/a
28/03/2018,35,n/a,n/a,n/a,33,n/a,33,32,32,n/a
29/03/2018,32,n/a,n/a,n/a,29,n/a,28,28,25,n/a
30/03/2018,35,n/a,n/a,28,31,n/a,32,29,31,n/a
31/03/2018,37,n/a,n/a,30,34,n/a,33,30,34,n/a
01/04/2018,47,n/a,n/a,33,45,n/a,42,42,44,n/a
02/04/2018,42,n/a,n/a,36,44,n/a,41,42,43,n/a
03/04/2018,n/a,n/a,n/a,33,43,n/a,45,45,40,n/a
04/04/2018,n/a,n/a,n/a,26,30,n/a,29,23,27,n/a
05/04/2018,n/a,n/a,n/a,26,34,n/a,34,21,32,n/a
06/04/2018,n/a,n/a,n/a,36,43,n/a,43,36,43,n/a
07/04/2018,n/a,n/a,n/a,12,20,n/a,19,15,20,n/a
08/04/2018,n/a,n/a,n/a,20,26,n/a,28,24,28,n/a
09/04/2018,n/a,n/a,n/a,38,43,n/a,45,45,42,n/a
10/04/2018,43,n/a,n/a,51,52,n/a,n/a,56,52,n/a
11/04/2018,19,n/a,n/a,25,30,n/a,30,18,28,n/a
12/04/2018,11,n/a,n/a,16,21,n/a,21,10,18,n/a
13/04/2018,9,n/a,n/a,16,21,n/a,19,10,16,n/a
14/04/2018,9,n/a,n/a,16,21,n/a,20,12,17,n/a
15/04/2018,8,n/a,n/a,15,21,n/a,20,12,18,n/a
16/04/2018,16,n/a,n/a,22,28,n/a,24,18,26,n/a
17/04/2018,10,n/a,n/a,14,21,n/a,19,13,16,n/a
18/04/2018,19,n/a,n/a,21,32,n/a,31,25,32,n/a
19/04/2018,12,n/a,n/a,16,26,n/a,22,16,20,n/a
20/04/2018,9,n/a,n/a,14,22,n/a,20,14,17,n/a
21/04/2018,11,n/a,n/a,17,23,n/a,22,16,19,n/a
22/04/2018,9,n/a,n/a,13,20,n/a,17,14,15,n/a
23/04/2018,13,n/a,n/a,20,26,n/a,27,21,23,n/a
24/04/2018,11,n/a,n/a,18,22,n/a,23,16,20,n/a
25/04/2018,16,n/a,n/a,22,28,n/a,28,22,24,n/a
26/04/2018,13,n/a,n/a,18,22,n/a,24,19,19,n/a
27/04/2018,14,n/a,n/a,17,22,n/a,24,21,23,n/a
28/04/2018,12,n/a,n/a,13,21,n/a,21,18,22,n/a
29/04/2018,15,n/a,n/a,17,26,n/a,25,21,26,n/a
30/04/2018,8,n/a,n/a,13,19,n/a,19,17,15,n/a
01/05/2018,4,n/a,n/a,9,13,n/a,13,10,11,n/a
02/05/2018,4,n/a,n/a,8,16,n/a,15,12,11,n/a
03/05/2018,9,n/a,n/a,14,19,n/a,21,18,18,n/a
04/05/2018,12,n/a,n/a,12,22,n/a,22,18,21,n/a
05/05/2018,n/a,n/a,n/a,10,17,n/a,16,14,18,n/a
06/05/2018,4,n/a,n/a,10,17,n/a,16,13,16,n/a
07/05/2018,11,n/a,n/a,15,19,n/a,18,17,17,n/a
08/05/2018,19,n/a,n/a,18,22,n/a,22,20,19,n/a
09/05/2018,13,n/a,n/a,15,17,n/a,19,17,19,n/a
10/05/2018,10,n/a,n/a,14,17,n/a,17,15,15,n/a
11/05/2018,14,n/a,n/a,14,18,n/a,19,18,19,n/a
12/05/2018,21,n/a,n/a,20,27,n/a,28,26,29,n/a
13/05/2018,22,n/a,n/a,20,26,n/a,23,20,28,n/a
14/05/2018,18,n/a,n/a,16,20,n/a,22,17,22,n/a
15/05/2018,20,n/a,n/a,22,26,n/a,28,23,26,n/a
16/05/2018,10,n/a,n/a,14,19,n/a,18,15,19,n/a
17/05/2018,10,n/a,n/a,10,16,n/a,16,12,14,n/a
18/05/2018,11,n/a,n/a,12,19,n/a,20,14,18,n/a
19/05/2018,13,n/a,n/a,15,18,n/a,n/a,17,17,n/a
20/05/2018,17,n/a,n/a,22,26,n/a,n/a,19,28,n/a
