Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T
01/01/2021,27,20,22,25,22,20,25,24,25,26,26,28
02/01/2021,32,25,26,27,27,23,26,29,31,32,33,33
03/01/2021,46,37,33,41,40,38,29,44,44,44,48,47
04/01/2021,39,31,32,36,38,36,28,46,41,37,49,55
05/01/2021,50,31,31,32,44,28,24,67,41,48,35,42
06/01/2021,57,32,36,36,39,32,25,85,36,53,38,47
07/01/2021,37,26,30,30,31,25,23,62,32,36,31,38
08/01/2021,26,21,24,23,24,21,20,26,25,22,25,30
09/01/2021,23,19,13,20,22,18,18,19,20,21,24,24
10/01/2021,30,27,20,25,26,25,22,35,27,29,31,33
11/01/2021,35,27,20,31,29,28,23,37,32,32,32,36
12/01/2021,33,26,19,29,28,26,22,36,31,31,33,30
13/01/2021,54,48,32,49,46,47,31,63,51,52,54,53
14/01/2021,76,71,40,68,64,69,42,99,71,74,75,77
15/01/2021,83,83,56,79,71,74,49,112,79,81,85,93
16/01/2021,67,66,N/A,59,59,57,48,74,72,63,81,106
17/01/2021,48,44,48,41,42,38,33,72,46,43,50,60
18/01/2021,34,29,32,30,29,27,25,33,30,31,32,35
19/01/2021,55,45,50,47,43,44,34,59,48,51,54,54
20/01/2021,74,59,60,59,51,59,45,94,61,69,71,78
21/01/2021,80,67,57,68,57,62,56,100,70,76,74,82
22/01/2021,102,88,70,75,77,79,63,131,89,101,83,92
23/01/2021,73,63,N/A,61,56,60,57,77,65,67,76,90
24/01/2021,34,30,29,29,27,27,34,36,32,32,35,48
25/01/2021,25,18,27,26,18,22,30,36,26,24,30,45
26/01/2021,31,20,29,26,21,24,31,38,30,29,31,41
27/01/2021,35,29,30,32,25,30,34,37,36,33,36,49
28/01/2021,38,31,31,33,31,29,35,42,38,37,38,51
29/01/2021,44,36,38,40,35,35,39,39,42,41,42,49
30/01/2021,45,42,38,43,42,40,39,54,43,42,47,52
31/01/2021,49,41,40,44,40,41,42,50,44,43,51,50
01/02/2021,73,64,50,55,48,58,52,78,60,68,71,74
02/02/2021,62,47,46,53,52,53,46,67,60,57,61,69
03/02/2021,63,58,48,54,54,47,48,68,62,59,58,66
04/02/2021,62,49,44,46,46,45,45,49,54,49,56,64
05/02/2021,58,47,43,51,45,49,44,60,49,52,56,61
06/02/2021,60,42,39,43,39,42,40,70,44,50,53,52
07/02/2021,58,52,43,53,47,52,46,61,59,55,59,78
08/02/2021,31,26,28,32,26,27,32,46,33,31,34,49
09/02/2021,40,27,N/A,38,28,32,38,61,40,42,44,58
10/02/2021,39,27,N/A,32,24,26,28,52,39,40,39,56
11/02/2021,34,29,39,31,27,23,25,53,33,33,35,47
12/02/2021,43,37,42,36,34,27,26,60,40,40,37,48
