 Year, Statistics,MonthYear,FallMM
2011, Jan Average,Jan-11,25.1
2011, Feb Average,Feb-11,15.1
2011, Mar Average,Mar-11,78.6
2011, Apr Average,Apr-11,129.6
2011, May Average,May-11,225.5
2011, Jun Average,Jun-11,235.3
2011, Jul Average,Jul-11,310.4
2011, Aug Average,Aug-11,324.1
2011, Sep Average,Sep-11,288.1
2011, Oct Average,Oct-11,194.3
2011, Nov Average,Nov-11,62.3
2011, Dec Average,Dec-11,38
2012, Jan Average,Jan-12,41.5
2012, Feb Average,Feb-12,16.6
2012, Mar Average,Mar-12,44.8
2012, Apr Average,Apr-12,101.2
2012, May Average,May-12,197.6
2012, Jun Average,Jun-12,149.9
2012, Jul Average,Jul-12,194.3
2012, Aug Average,Aug-12,193.1
2012, Sep Average,Sep-12,278.5
2012, Oct Average,Oct-12,112.1
2012, Nov Average,Nov-12,118.5
2012, Dec Average,Dec-12,40.1
2013, Jan Average,Jan-13,28.1
2013, Feb Average,Feb-13,16.3
2013, Mar Average,Mar-13,40.4
2013, Apr Average,Apr-13,75.4
2013, May Average,May-13,147.8
2013, Jun Average,Jun-13,207.6
2013, Jul Average,Jul-13,277.4
2013, Aug Average,Aug-13,270.2
2013, Sep Average,Sep-13,318.5
2013, Oct Average,Oct-13,198.2
2013, Nov Average,Nov-13,85.5
2013, Dec Average,Dec-13,28.9
2014, Jan Average,Jan-14,7.1
2014, Feb Average,Feb-14,2.6
2014, Mar Average,Mar-14,30.3
2014, Apr Average,Apr-14,82
2014, May Average,May-14,153.6
2014, Jun Average,Jun-14,194.2
2014, Jul Average,Jul-14,204.1
2014, Aug Average,Aug-14,285.5
2014, Sep Average,Sep-14,206.7
2014, Oct Average,Oct-14,136.1
2014, Nov Average,Nov-14,77.9
2014, Dec Average,Dec-14,43.7
2015, Jan Average,Jan-15,18.1
2015, Feb Average,Feb-15,16.3
2015, Mar Average,Mar-15,42
2015, Apr Average,Apr-15,81.4
2015, May Average,May-15,89.7
2015, Jun Average,Jun-15,139.2
2015, Jul Average,Jul-15,201
2015, Aug Average,Aug-15,251.5
2015, Sep Average,Sep-15,252.8
2015, Oct Average,Oct-15,142.8
2015, Nov Average,Nov-15,86.9
2015, Dec Average,Dec-15,42.5
2016, Jan Average,Jan-16,36.8
2016, Feb Average,Feb-16,9.1
2016, Mar Average,Mar-16,16.9
2016, Apr Average,Apr-16,32.9
2016, May Average,May-16,180.6
2016, Jun Average,Jun-16,179.7
2016, Jul Average,Jul-16,204.7
2016, Aug Average,Aug-16,217.8
2016, Sep Average,Sep-16,289.2
2016, Oct Average,Oct-16,196.6
2016, Nov Average,Nov-16,130.2
2016, Dec Average,Dec-16,49.2
2017, Jan Average,Jan-17,55.8
2017, Feb Average,Feb-17,15.6
2017, Mar Average,Mar-17,65.1
2017, Apr Average,Apr-17,107.9
2017, May Average,May-17,309.8
2017, Jun Average,Jun-17,251.4
2017, Jul Average,Jul-17,264.6
2017, Aug Average,Aug-17,272.6
2017, Sep Average,Sep-17,256.5
2017, Oct Average,Oct-17,187.7
2017, Nov Average,Nov-17,75.9
2017, Dec Average,Dec-17,53.4
2018, Jan Average,Jan-18,22.5
2018, Feb Average,Feb-18,24.2
2018, Mar Average,Mar-18,42.8
2018, Apr Average,Apr-18,139.6
2018, May Average,May-18,187.8
2018, Jun Average,Jun-18,207.5
2018, Jul Average,Jul-18,211.1
2018, Aug Average,Aug-18,248.6
2018, Sep Average,Sep-18,184.6
2018, Oct Average,Oct-18,141.8
2018, Nov Average,Nov-18,57.1
2018, Dec Average,Dec-18,47.6
2019, Jan Average,Jan-19,30.7
2019, Feb Average,Feb-19,16.8
2019, Mar Average,Mar-19,19.7
2019, Apr Average,Apr-19,44.1
2019, May Average,May-19,164.4
2019, Jun Average,Jun-19,169.3
2019, Jul Average,Jul-19,149.8
2019, Aug Average,Aug-19,263.5
2019, Sep Average,Sep-19,244.1
2019, Oct Average,Oct-19,90.3
2019, Nov Average,Nov-19,49.5
2019, Dec Average,Dec-19,15.1
2020, Jan Average,Jan-20,7.3
2020, Feb Average,Feb-20,9.1
2020, Mar Average,Mar-20,34.6
2020, Apr Average,Apr-20,82.9
2020, May Average,May-20,122
2020, Jun Average,Jun-20,214.1
2020, Jul Average,Jul-20,174.2
2020, Aug Average,Aug-20,273.8
2020, Sep Average,Sep-20,256.9
2020, Oct Average,Oct-20,211.5
2020, Nov Average,Nov-20,60.4
2020, Dec Average,Dec-20,41.4
