Temperature - (Celsius), Year, Statistics, Country, ISO3
23.9, 1901, Jan Average, Thailand, THA
25.6, 1901, Feb Average, Thailand, THA
27.6, 1901, Mar Average, Thailand, THA
29.4, 1901, Apr Average, Thailand, THA
28.2, 1901, May Average, Thailand, THA
28.0, 1901, Jun Average, Thailand, THA
27.4, 1901, Jul Average, Thailand, THA
27.1, 1901, Aug Average, Thailand, THA
26.7, 1901, Sep Average, Thailand, THA
26.4, 1901, Oct Average, Thailand, THA
24.9, 1901, Nov Average, Thailand, THA
23.0, 1901, Dec Average, Thailand, THA
22.7, 1902, Jan Average, Thailand, THA
23.2, 1902, Feb Average, Thailand, THA
27.7, 1902, Mar Average, Thailand, THA
29.2, 1902, Apr Average, Thailand, THA
28.4, 1902, May Average, Thailand, THA
28.4, 1902, Jun Average, Thailand, THA
27.8, 1902, Jul Average, Thailand, THA
27.3, 1902, Aug Average, Thailand, THA
26.7, 1902, Sep Average, Thailand, THA
26.7, 1902, Oct Average, Thailand, THA
25.0, 1902, Nov Average, Thailand, THA
24.1, 1902, Dec Average, Thailand, THA
23.4, 1903, Jan Average, Thailand, THA
24.9, 1903, Feb Average, Thailand, THA
28.0, 1903, Mar Average, Thailand, THA
29.9, 1903, Apr Average, Thailand, THA
29.1, 1903, May Average, Thailand, THA
27.3, 1903, Jun Average, Thailand, THA
27.4, 1903, Jul Average, Thailand, THA
26.8, 1903, Aug Average, Thailand, THA
26.4, 1903, Sep Average, Thailand, THA
26.1, 1903, Oct Average, Thailand, THA
23.7, 1903, Nov Average, Thailand, THA
20.4, 1903, Dec Average, Thailand, THA
21.4, 1904, Jan Average, Thailand, THA
23.7, 1904, Feb Average, Thailand, THA
27.3, 1904, Mar Average, Thailand, THA
28.2, 1904, Apr Average, Thailand, THA
28.3, 1904, May Average, Thailand, THA
27.6, 1904, Jun Average, Thailand, THA
27.4, 1904, Jul Average, Thailand, THA
27.5, 1904, Aug Average, Thailand, THA
27.2, 1904, Sep Average, Thailand, THA
26.8, 1904, Oct Average, Thailand, THA
24.1, 1904, Nov Average, Thailand, THA
22.1, 1904, Dec Average, Thailand, THA
23.5, 1905, Jan Average, Thailand, THA
26.4, 1905, Feb Average, Thailand, THA
27.8, 1905, Mar Average, Thailand, THA
29.5, 1905, Apr Average, Thailand, THA
28.5, 1905, May Average, Thailand, THA
27.7, 1905, Jun Average, Thailand, THA
27.8, 1905, Jul Average, Thailand, THA
27.9, 1905, Aug Average, Thailand, THA
27.4, 1905, Sep Average, Thailand, THA
27.0, 1905, Oct Average, Thailand, THA
25.4, 1905, Nov Average, Thailand, THA
25.7, 1905, Dec Average, Thailand, THA
25.0, 1906, Jan Average, Thailand, THA
26.7, 1906, Feb Average, Thailand, THA
27.8, 1906, Mar Average, Thailand, THA
30.3, 1906, Apr Average, Thailand, THA
29.8, 1906, May Average, Thailand, THA
28.2, 1906, Jun Average, Thailand, THA
27.9, 1906, Jul Average, Thailand, THA
27.8, 1906, Aug Average, Thailand, THA
27.7, 1906, Sep Average, Thailand, THA
26.4, 1906, Oct Average, Thailand, THA
24.2, 1906, Nov Average, Thailand, THA
23.3, 1906, Dec Average, Thailand, THA
23.2, 1907, Jan Average, Thailand, THA
25.4, 1907, Feb Average, Thailand, THA
26.8, 1907, Mar Average, Thailand, THA
28.9, 1907, Apr Average, Thailand, THA
27.8, 1907, May Average, Thailand, THA
27.7, 1907, Jun Average, Thailand, THA
27.4, 1907, Jul Average, Thailand, THA
27.0, 1907, Aug Average, Thailand, THA
27.1, 1907, Sep Average, Thailand, THA
26.4, 1907, Oct Average, Thailand, THA
24.9, 1907, Nov Average, Thailand, THA
21.4, 1907, Dec Average, Thailand, THA
23.1, 1908, Jan Average, Thailand, THA
24.9, 1908, Feb Average, Thailand, THA
27.4, 1908, Mar Average, Thailand, THA
29.3, 1908, Apr Average, Thailand, THA
28.1, 1908, May Average, Thailand, THA
27.6, 1908, Jun Average, Thailand, THA
27.4, 1908, Jul Average, Thailand, THA
27.0, 1908, Aug Average, Thailand, THA
26.9, 1908, Sep Average, Thailand, THA
26.5, 1908, Oct Average, Thailand, THA
23.6, 1908, Nov Average, Thailand, THA
22.8, 1908, Dec Average, Thailand, THA
23.3, 1909, Jan Average, Thailand, THA
25.4, 1909, Feb Average, Thailand, THA
27.5, 1909, Mar Average, Thailand, THA
29.0, 1909, Apr Average, Thailand, THA
28.1, 1909, May Average, Thailand, THA
27.7, 1909, Jun Average, Thailand, THA
27.2, 1909, Jul Average, Thailand, THA
27.3, 1909, Aug Average, Thailand, THA
27.1, 1909, Sep Average, Thailand, THA
26.8, 1909, Oct Average, Thailand, THA
