Rainfall - (MM), Year, Statistics, Country, ISO3
13.9, 1901, Jan Average, Thailand, THA
15.5, 1901, Feb Average, Thailand, THA
33.6, 1901, Mar Average, Thailand, THA
85.6, 1901, Apr Average, Thailand, THA
200.9, 1901, May Average, Thailand, THA
202.3, 1901, Jun Average, Thailand, THA
210.7, 1901, Jul Average, Thailand, THA
247.5, 1901, Aug Average, Thailand, THA
260.5, 1901, Sep Average, Thailand, THA
165.6, 1901, Oct Average, Thailand, THA
83.3, 1901, Nov Average, Thailand, THA
26.7, 1901, Dec Average, Thailand, THA
11.1, 1902, Jan Average, Thailand, THA
12.9, 1902, Feb Average, Thailand, THA
32.7, 1902, Mar Average, Thailand, THA
90.6, 1902, Apr Average, Thailand, THA
162.5, 1902, May Average, Thailand, THA
172.7, 1902, Jun Average, Thailand, THA
167.8, 1902, Jul Average, Thailand, THA
245.0, 1902, Aug Average, Thailand, THA
276.8, 1902, Sep Average, Thailand, THA
159.4, 1902, Oct Average, Thailand, THA
90.5, 1902, Nov Average, Thailand, THA
35.8, 1902, Dec Average, Thailand, THA
12.7, 1903, Jan Average, Thailand, THA
12.2, 1903, Feb Average, Thailand, THA
21.8, 1903, Mar Average, Thailand, THA
57.2, 1903, Apr Average, Thailand, THA
200.7, 1903, May Average, Thailand, THA
231.9, 1903, Jun Average, Thailand, THA
185.1, 1903, Jul Average, Thailand, THA
254.0, 1903, Aug Average, Thailand, THA
246.6, 1903, Sep Average, Thailand, THA
155.5, 1903, Oct Average, Thailand, THA
62.3, 1903, Nov Average, Thailand, THA
40.2, 1903, Dec Average, Thailand, THA
16.7, 1904, Jan Average, Thailand, THA
11.4, 1904, Feb Average, Thailand, THA
29.3, 1904, Mar Average, Thailand, THA
114.0, 1904, Apr Average, Thailand, THA
219.1, 1904, May Average, Thailand, THA
182.0, 1904, Jun Average, Thailand, THA
176.9, 1904, Jul Average, Thailand, THA
206.5, 1904, Aug Average, Thailand, THA
268.9, 1904, Sep Average, Thailand, THA
164.3, 1904, Oct Average, Thailand, THA
104.4, 1904, Nov Average, Thailand, THA
28.0, 1904, Dec Average, Thailand, THA
13.5, 1905, Jan Average, Thailand, THA
11.1, 1905, Feb Average, Thailand, THA
52.1, 1905, Mar Average, Thailand, THA
76.5, 1905, Apr Average, Thailand, THA
219.4, 1905, May Average, Thailand, THA
203.8, 1905, Jun Average, Thailand, THA
221.7, 1905, Jul Average, Thailand, THA
239.7, 1905, Aug Average, Thailand, THA
260.9, 1905, Sep Average, Thailand, THA
152.3, 1905, Oct Average, Thailand, THA
84.6, 1905, Nov Average, Thailand, THA
27.9, 1905, Dec Average, Thailand, THA
14.9, 1906, Jan Average, Thailand, THA
11.9, 1906, Feb Average, Thailand, THA
22.1, 1906, Mar Average, Thailand, THA
58.2, 1906, Apr Average, Thailand, THA
179.6, 1906, May Average, Thailand, THA
193.0, 1906, Jun Average, Thailand, THA
223.4, 1906, Jul Average, Thailand, THA
246.2, 1906, Aug Average, Thailand, THA
271.5, 1906, Sep Average, Thailand, THA
139.8, 1906, Oct Average, Thailand, THA
71.4, 1906, Nov Average, Thailand, THA
39.8, 1906, Dec Average, Thailand, THA
25.5, 1907, Jan Average, Thailand, THA
10.3, 1907, Feb Average, Thailand, THA
85.8, 1907, Mar Average, Thailand, THA
59.5, 1907, Apr Average, Thailand, THA
214.5, 1907, May Average, Thailand, THA
197.4, 1907, Jun Average, Thailand, THA
178.0, 1907, Jul Average, Thailand, THA
199.1, 1907, Aug Average, Thailand, THA
210.1, 1907, Sep Average, Thailand, THA
181.1, 1907, Oct Average, Thailand, THA
101.5, 1907, Nov Average, Thailand, THA
36.0, 1907, Dec Average, Thailand, THA
14.5, 1908, Jan Average, Thailand, THA
17.0, 1908, Feb Average, Thailand, THA
22.8, 1908, Mar Average, Thailand, THA
95.1, 1908, Apr Average, Thailand, THA
215.1, 1908, May Average, Thailand, THA
217.8, 1908, Jun Average, Thailand, THA
232.5, 1908, Jul Average, Thailand, THA
280.6, 1908, Aug Average, Thailand, THA
290.2, 1908, Sep Average, Thailand, THA
174.7, 1908, Oct Average, Thailand, THA
99.4, 1908, Nov Average, Thailand, THA
37.4, 1908, Dec Average, Thailand, THA
26.5, 1909, Jan Average, Thailand, THA
15.1, 1909, Feb Average, Thailand, THA
28.1, 1909, Mar Average, Thailand, THA
71.6, 1909, Apr Average, Thailand, THA
184.7, 1909, May Average, Thailand, THA
180.3, 1909, Jun Average, Thailand, THA
218.8, 1909, Jul Average, Thailand, THA
290.4, 1909, Aug Average, Thailand, THA
259.6, 1909, Sep Average, Thailand, THA
155.6, 1909, Oct Average, Thailand, THA
120.0, 1909, Nov Average, Thailand, THA
20.0, 1909, Dec Average, Thailand, THA
22.0, 1910, Jan Average, Thailand, THA
26.3, 1910, Feb Average, Thailand, THA
44.5, 1910, Mar Average, Thailand, THA
99.4, 1910, Apr Average, Thailand, THA
194.1, 1910, May Average, Thailand, THA
248.6, 1910, Jun Average, Thailand, THA
197.1, 1910, Jul Average, Thailand, THA
294.0, 1910, Aug Average, Thailand, THA
268.5, 1910, Sep Average, Thailand, THA
165.0, 1910, Oct Average, Thailand, THA
73.0, 1910, Nov Average, Thailand, THA
45.7, 1910, Dec Average, Thailand, THA
27.0, 1911, Jan Average, Thailand, THA
11.9, 1911, Feb Average, Thailand, THA
21.9, 1911, Mar Average, Thailand, THA
94.0, 1911, Apr Average, Thailand, THA
159.5, 1911, May Average, Thailand, THA
204.6, 1911, Jun Average, Thailand, THA
140.2, 1911, Jul Average, Thailand, THA
144.4, 1911, Aug Average, Thailand, THA
277.0, 1911, Sep Average, Thailand, THA
155.8, 1911, Oct Average, Thailand, THA
